METADATA,,,,,,,,,,,,,,
title.en,SERVICE RESTRICTIONS (Recapitulatory list of service restrictions in force relating to telecommunications operation),,,,,,,,,,,,,
title.fr,RESTRICTIONS DE SERVICE (Liste récapitulative des restrictions de service en vigueur relatives à l’exploitation des télécommunications),,,,,,,,,,,,,
title.es,RESTRICCIONES DE SERVICIO (Lista recapitulativa de las restricciones de servicio en vigor relativas a la explotación de las telecomunicaciones),,,,,,,,,,,,,
locale.geographic_area.en,Country/Geographical area,,,,,,,,,,,,,
locale.geographic_area.fr,Países/Zonas geográficas,,,,,,,,,,,,,
locale.geographic_area.es,Pays/Zones géographiques,,,,,,,,,,,,,
locale.telex_not_provided.en,The telex service is no longer provided.,,,,,,,,,,,,,
locale.telex_not_provided.fr,Le service télex n'est plus assuré.,,,,,,,,,,,,,
locale.telex_not_provided.es,El servicio télex está suprimido ,,,,,,,,,,,,,
locale.telegram_not_provided.en,The telegram service is no longer provided. ,,,,,,,,,,,,,
locale.telegram_not_provided.fr,Le service des télégrammes n'est plus assuré. ,,,,,,,,,,,,,
locale.telegram_not_provided.es,El servicio de telegramas está suprimido. ,,,,,,,,,,,,,
locale.no_collect_calls.mobile.en,Collect calls to mobile numbers are not accepted,,,,,,,,,,,,,
locale.no_collect_calls.mobile.fr,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées ,,,,,,,,,,,,,
locale.no_collect_calls.mobile.es,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,,,,,,,,,,,,,
locale.no_collect_calls.payphone.en,Collect calls to payphones are not accepted,,,,,,,,,,,,,
locale.no_collect_calls.payphone.fr,Les communications payables à l'arrivée à destination de publiphones ne sont pas acceptées.,,,,,,,,,,,,,
locale.no_collect_calls.payphone.es,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos públicos,,,,,,,,,,,,,
locale.no_collect_calls.audiotex.en,Collect calls to audiotex numbers are not accepted,,,,,,,,,,,,,
locale.no_collect_calls.audiotex.fr,Les communications payables à l'arrivée à destination de numéros audiotex ne sont pas acceptées. ,,,,,,,,,,,,,
locale.no_collect_calls.audiotex.es,No se aceptan llamadas de cobro revertido efectuadas a números de audiotex,,,,,,,,,,,,,
locale.no_collect_calls.virtual.en,Collect calls to virtual telephony are not accepted,,,,,,,,,,,,,
locale.no_collect_calls.virtual.fr,Les communications payables à l'arrivée à destination d'abonnés de la téléphonie virtuelle ne sont pas acceptées.,,,,,,,,,,,,,
locale.no_collect_calls.virtual.es,No se aceptan llamadas de cobro revertido efectuadas a números de telefonía virtual,,,,,,,,,,,,,
locale.no_collect_calls.incoming.en,Collect calls for incoming are not accepted.,,,,,,,,,,,,,
locale.no_collect_calls.incoming.fr,Les communications entrantes payables à l'arrivée ne sont pas acceptées. ,,,,,,,,,,,,,
locale.no_collect_calls.incoming.es,No se aceptan llamadas de cobro revertido entrantes.,,,,,,,,,,,,,
locale.no_collect_calls.outgoing.en,Collect calls for outgoing are not accepted.,,,,,,,,,,,,,
locale.no_collect_calls.outgoing.fr,Les communications sortantes payables à l'arrivée ne sont pas acceptées. ,,,,,,,,,,,,,
locale.no_collect_calls.outgoing.es,No se aceptan llamadas de cobro revertido salientes.,,,,,,,,,,,,,
locale.no_messenger_dispatch.en,Telephone calls requiring the dispatch of a messenger are no longer admitted.,,,,,,,,,,,,,
locale.no_messenger_dispatch.fr,Les appels téléphoniques nécessitant l'envoi d'un messager ne sont plus admis.,,,,,,,,,,,,,
locale.no_messenger_dispatch.es,No se admiten llamadas telefónicas que requieran el envío de un mensajero,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATA,,,,,,,,,,,,,,
geographic_area.fr,geographic_area.en,geographic_area.es,restrictions.telex_not_provided[boolean],restrictions.telegram_not_provided[boolean],restrictions.no_collect_calls.mobile[boolean],restrictions.no_collect_calls.payphone[boolean],restrictions.no_collect_calls.audiotex[boolean],restrictions.no_collect_calls.virtual[boolean],restrictions.no_collect_calls.incoming[boolean],restrictions.no_collect_calls.outgoing[boolean],restrictions.no_messenger_dispatch[boolean],notes.en,notes.es,notes.fr
Andorre,Andorra,Andorra,TRUE,,,,,,,,,,,
Antigua-et-Barbuda,Antigua and Barbuda,Antigua y Barbuda,,TRUE,TRUE,TRUE,TRUE,,,,,,,
Argentine,Argentina,Argentina,,,,,,,,,,"The Correo Oficial de La Republica Argentina S.A., Buenos Aires, announces that as from 1 February 2011, the telegrams indicated as TLXx (TELEX DELIVERY) will not be accepted anymore. This restriction will reach incoming and outgoing telegrams from the Argentine (Republic). The special services such as URGENT (urgent transmission and delivery) TFx (telephone delivery), FAXx (facsimile delivery) will be available.","El Correo Oficial de La Republica Argentina S.A., Buenos Aires, anuncia que a partir del 1 de febrero de 2011 dejará de admitir telegramas con la indicación de servicio TLXx (ENTREGA POR TELEX).  Esta restricción alcanza tanto a los telegramas impuestos como los destinados a la República Argentina. Se continuará aceptando los servicios especiales URGENT (transmisión y entrega urgentes) TFx (entrega por teléfono), FAXx (entrega por facsímil). ","Le Correo Oficial de La República Argentina S.A., Buenos Aires, annonce qu'il n'acceptera plus les télégrammes portant l'indication de service TLXx (REMISE PAR TELEX) à compter du 1er février 2011. Cette restriction s'applique aux télégrammes en provenance et à destination de la République argentine. Les télégrammes portant les indications de service spécial URGENT (transmission et remise urgentes), TFx (remise par téléphone) et FAXx (remise par télécopie) continueront d'être acceptés. "
Aruba,Aruba,Aruba,,,TRUE,,,,,,,,,
Australie,Australia,Australia,,,TRUE,,,,,,,,,
Autriche,Austria,Austria,TRUE,,,,,,,,,,,
Bangladesh,Bangladesh,Bangladesh,TRUE,,,,,,,,,,,
Barbade,Barbados,Barbados,,,TRUE,,,,,,,,,
Belgique,Belgium,Bélgica,,,,,,,,,,No collect calls are accepted between a foreign operator and Belgacom operator. Incoming collect calls are available through Belgium Direct Service.,No se aceptan llamadas de cobro revertido entre un operador extranjero y el operador Belgacom. La recepción de llamadas de cobro revertido se efectúa a través del servicio directo con Bélgica,Aucune communication payable à l'arrivée n'est acceptée entre un opérateur étranger et l'opérateur Belgacom. Il est possible d'utiliser le service Belgium Direct pour établir des communications entrantes payables à l'arrivée.
Belize,Belize,Belice,,,TRUE,TRUE,,,,,,,,
Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia y Herzegovina,TRUE,,,,,,,,,,,
Bulgarie,Bulgaria,Bulgaria,TRUE,TRUE,,,,,,,,Collect telephone calls and credit card telephone calls are accepted in Bulgaria only with those countries whose administrations have confirmed their agreement to the Bulgarian Administration in writing. The telegram service is no longer provided. The telex service is no longer provided.,Sólo se admiten llamadas telefónicas de cobro revertido y con tarjetas de crédito con los países cuyas administraciones hayan confirmado por escrito su acuerdo a la Administración búlgara. El servicio de telegramas está suprimido. El servicio télex está suprimido,Les communications téléphoniques payables à l’arrivée et avec cartes de crédit sont acceptées en Bulgarie qu’avec les pays dont les administrations ont confirmé par écrit leur accord à l’Administration bulgare. Le service des télégrammes n'est plus assuré. Le service télex n'est plus assuré.
Cayman (Iles),Cayman (Islands),Caimán (Islas),,,TRUE,,,,,,,,,
Colombie,Colombia,Colombia,,,TRUE,,,,,,,,,
Cook (Iles),Cook Islands,Cook (Islas),TRUE,,,,,,,,,,,
"Curaçao, Sint Maarten, Bonaire, Saint Eustatius et Saba","Curaçao, Sint Maarten, Bonaire, Sint Eustatius and Saba","Curaçao, Sint Maarten, Bonaire, San Eustatius y Saba",TRUE,TRUE,,,,,TRUE,TRUE,,,,
Chypre,Cyprus,Chipre,,,TRUE,,,,,,,CYTA no longer route nor accept telephone traffic via transit carriers. Telecom operators are requested to switch to the hubbing method for routing traffic to CYTA. ,CYTA no encamina ni acepta tráfico telefónico procedente de operadores de tránsito. Se invita a los operadores de telecomunicaciones que utilicen un método de concentración para el encaminamiento de su tráfico a la CYTA.,La CYTA n'achemine plus et n'accepte plus de trafic téléphonique via des opérateurs de transit. Les opérateurs de télécommunication concernés sont priés de bien vouloir adopter la méthode de concentration (hubbing) pour le routage de leur trafic à destination de la CYTA.
Tchèque (Rép.),Czech Rep.,Checa (Rep.),TRUE,,,,,,,,,,,
Danemark,Denmark,Dinamarca,,TRUE,,,,,,,,,,
Dominique,Dominica,Dominica,,,TRUE,,,,,,,,,
Féroé (Iles),Faroe (Island),Faroe (Islas),TRUE,TRUE,,,,,,,,,,
Fidji,Fiji,Fiji,TRUE,TRUE,TRUE,,,,,,,,,
Finlande,Finland,Finlandia,,,,,,,,,,Sonera announces the closure of the Booked Call Service (booked personal telephone calls requiring the dispatch of a messenger).,Sonera anuncia la clausura del servicio de petición de llamadas (llamadas telefónicas personales que requieren el envío de un mensajero),Sonera annonce la fermeture du service de réservation de communications (réservation de communications téléphoniques personnelles nécessitant l'envoi d'un messager).
France,France,Francia,,,,,,,,,,France Telecom has discontinued the international collect call service.,France Telecom ha suspendido el servicio internacional de llamadas de cobro revertido ,France Telecom a arrêté le service international de communications payables à l'arrivée.
Gibraltar,Gibraltar,Gibraltar,,TRUE,TRUE,,,,,,,,,
Groenland,Greenland,Groenlandia,,TRUE,,,,,,,,Telephone calls requiring the dispatch of a messenger are no longer admitted.,No se admiten llamadas telefónicas que requieran el envío de un mensajero,Les appels téléphoniques nécessitant l'envoi d'un messager ne sont plus admis.
Guyana,Guyana,Guyana,TRUE,TRUE,TRUE,,,,,,,,,
Haïti,Haiti,Haiti,TRUE,,,,,,,,,,,
Honduras,Honduras,Honduras,,,TRUE,,,,,,,,,
"Hong Kong, Chine","Hong Kong, China","Hong Kong, China",,TRUE,,,,,,,,The CT2 service are no longer provided,El  servicio CT2 están suprimidos,Le service CT2 ne sont plus assurés.
Hongrie,Hungary,Hungría,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,,
Islande,Iceland,Islandia,TRUE,,TRUE,,,,TRUE,TRUE,,,,
Indonésie,Indonesia,Indonesia,,TRUE,TRUE,,,,,,,PT Indosat no longer route nor accept telephone traffic via transit carriers. Telecom operators are requested to switch to the hubbing method for routing traffic to PT Indosat,PT Indosat no encamina ni acepta tráfico telefónico procedente de operadores de tránsito. Se invita a los operadores de telecomunicaciones que utilicen un método de concentración para el encaminamiento de su tráfico a PT Indosat,PT Indosat n'achemine plus et n'accepte plus de trafic téléphonique via des opérateurs de transit. Les opérateurs de télécommunication concernés sont priés de bien vouloir adopter la méthode de concentration (hubbing) pour le routage de leur trafic à destination de PT Indosat.
Irlande,Ireland,Irlanda,,,,,,,,,TRUE,,,
