METADATA,,,,,,,,,,,,,,,,,,,,,,,,
title.en,List of Country or Geographical Area Codes for Non-standard Facilities in Telematic Services,,,,,,,,,,,,,,,,,,,,,,,
title.fr,LISTE DES INDICATIFS DE PAYS OU DE ZONE GÉOGRAPHIQUE POUR LES FACILITÉS NON NORMALISÉES DANS LES SERVICES DE TÉLÉMATIQUE,,,,,,,,,,,,,,,,,,,,,,,
title.es,LISTA DE INDICATIVOS DE PAÍS O DE ZONA GEOGRÁFICA PARA FACILIDADES NO NORMALIZADAS DE LOS SERVICIOS TELEMÁTICOS,,,,,,,,,,,,,,,,,,,,,,,
code_bit.en,Code Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.en,Country or geographical area,,,,,,,,,,,,,,,,,,,,,,,
notes.en,NOTE,,,,,,,,,,,,,,,,,,,,,,,
code_bit.fr,Code Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.fr,Pays ou zone géographique,,,,,,,,,,,,,,,,,,,,,,,
notes.fr,NOTE ,,,,,,,,,,,,,,,,,,,,,,,
code_bit.es,Código Bit (b8 to b1),,,,,,,,,,,,,,,,,,,,,,,
country_or_area.es,País o zona geográfica,,,,,,,,,,,,,,,,,,,,,,,
notes.es,NOTA ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA,name=code_bit,,,,,,,,,,,,,,,,,,,,,,,
code_bit,country_or_area.en,country_or_area.fr,country_or_area.es,notes.en,notes.fr,notes.es,,,,,,,,,,,,,,,,,,
00000000,Japan,Japon,Japón,,,,,,,,,,,,,,,,,,,,,
00000001,Albania,Albanie,Albania,,,,,,,,,,,,,,,,,,,,,
00000010,Algeria,Algérie,Argelia,,,,,,,,,,,,,,,,,,,,,
00000011,American Samoa,Samoa américaines,Samoa norteamericanas,,,,,,,,,,,,,,,,,,,,,
00000100,Germany,Allemagne,Alemania,,,,,,,,,,,,,,,,,,,,,
00000101,Anguilla,Anguilla,Anguilla,,,,,,,,,,,,,,,,,,,,,
00000110,Antigua and Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,,,,,,,,,,,,,,,,,,,,,
00000111,Argentina,Argentine,Argentina,,,,,,,,,,,,,,,,,,,,,
00001000,Ascension (see Saint Helena),Ascension (voir Sainte-Hélène),Ascensión (véase Santa Elena),,,,,,,,,,,,,,,,,,,,,
00001001,Australia,Australie,Australia,,,,,,,,,,,,,,,,,,,,,
00001010,Austria,Autriche,Austria,,,,,,,,,,,,,,,,,,,,,
00001011,Bahamas,Bahamas,Bahamas,,,,,,,,,,,,,,,,,,,,,
00001100,Bahrain,Bahreïn,Bahrein,,,,,,,,,,,,,,,,,,,,,
00001101,Bangladesh,Bangladesh,Bangladesh,,,,,,,,,,,,,,,,,,,,,
00001110,Barbados,Barbade,Barbados,,,,,,,,,,,,,,,,,,,,,
00001111,Belgium,Belgique,Bélgica,,,,,,,,,,,,,,,,,,,,,
00010000,Belize,Belize,Belice,,,,,,,,,,,,,,,,,,,,,
00010001,Benin,Bénin,Benin,,,,,,,,,,,,,,,,,,,,,
00010010,Bermuda,Bermudes,Bermudas,,,,,,,,,,,,,,,,,,,,,
00010011,Bhutan,Bhoutan,Bhután,,,,,,,,,,,,,,,,,,,,,
00010100,Bolivia,Bolivie,Bolivia,,,,,,,,,,,,,,,,,,,,,
00010101,Botswana,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,
00010110,Brazil,Brésil,Brasil,,,,,,,,,,,,,,,,,,,,,
00010111,British Antarctic Territory,Territoire britannique de l'Antarctique,Territorio británico del Antártico,,,,,,,,,,,,,,,,,,,,,
00011000,British Indian Ocean Territory (Diego Garcia),Territoire britannique de l'océan Indien (Diego Garcia),Territorio británico del Océano Índico (Diego Garcia),,,,,,,,,,,,,,,,,,,,,
00011001,British Virgin Islands,Vierges britanniques (Iles),Vírgenes británicas (Islas),,,,,,,,,,,,,,,,,,,,,
00011010,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,
