METADATA,,,,,,,,,,,,,,,
title.en,List of ITU Carrier Codes,,,,,,,,,,,,,,
title.fr,Liste des codes de transporteur de l'UIT,,,,,,,,,,,,,,
title.es,Lista de códigos de operador de la UIT,,,,,,,,,,,,,,
title.ru,Список кодов МСЭ операторов связи,,,,,,,,,,,,,,
title.zh,国际电联电信运营商列表,,,,,,,,,,,,,,
title.ar,قائمة برموز المشغلين الصادرة عن الاتحاد,,,,,,,,,,,,,,
note.en,"This information may be used while filling-out layer 2 record as explained in Recommendation ITU-T M.1400 – 8.3, 13.3 and 20.3.",,,,,,,,,,,,,,
note.fr,"Cette information peut servir à remplir la Couche 2 conformément aux instructions données dans la Recommandation UIT-T M.1400 – 8.3, 13.3 et 20.3.",,,,,,,,,,,,,,
note.es,"Esta información puede ser utilizada cuando se rellenen los registros de la Capa 2 según se explica en la Recomendación UIT-T M.1400 – 8.3, 13.3 y 20.3.",,,,,,,,,,,,,,
note.ru,"Данная информация может использоваться при заполнении записи уровня 2, которая описана в Рекомендации МСЭ-T M.1400, в пунктах 8.3, 13.3 и 20.3.",,,,,,,,,,,,,,
note.zh,如ITU-R M.1400建议书第8.3、13.3和20.3所述，在填写2层记录时可使用本信息。,,,,,,,,,,,,,,
note.ar,ملاحظة: يمكن استعمال هذه المعلومات عند ملء سجل الطبقة 2 على غرار ما هو موضح في البنود 3.8 و3.13 و3.20 من التوصية ITU-T M.1400.,,,,,,,,,,,,,,
locale.country_or_area.en,Country or area,,,,,,,,,,,,,,
locale.iso_code.en,ISO code,,,,,,,,,,,,,,
locale.company_name.en,Company Name,,,,,,,,,,,,,,
locale.address_line_1.en,Address Line 1,,,,,,,,,,,,,,
locale.address_line_2.en,Address Line 2,,,,,,,,,,,,,,
locale.address_line_3.en,Address Line 3,,,,,,,,,,,,,,
locale.carrier_code.en,Company Code (carrier code),,,,,,,,,,,,,,
locale.contact.en,Contact,,,,,,,,,,,,,,
locale.tel.en,Tel,,,,,,,,,,,,,,
locale.fax.en,Fax,,,,,,,,,,,,,,
locale.email.en,E-mail,,,,,,,,,,,,,,
locale.country_or_area.fr,Pays ou zone,,,,,,,,,,,,,,
locale.iso_code.fr,code ISO,,,,,,,,,,,,,,
locale.company_name.fr,Nom de la société,,,,,,,,,,,,,,
locale.address_line_1.fr,Adresse,,,,,,,,,,,,,,
locale.address_line_2.fr,Adresse,,,,,,,,,,,,,,
locale.address_line_3.fr,Adresse,,,,,,,,,,,,,,
locale.carrier_code.fr,Code de la société,,,,,,,,,,,,,,
locale.contact.fr,Contact,,,,,,,,,,,,,,
locale.tel.fr,Tel,,,,,,,,,,,,,,
locale.fax.fr,Fax,,,,,,,,,,,,,,
locale.email.fr,E-mail,,,,,,,,,,,,,,
locale.country_or_area.es,País o zona,,,,,,,,,,,,,,
locale.iso_code.es,código ISO,,,,,,,,,,,,,,
locale.company_name.es,Nombre de la empresa,,,,,,,,,,,,,,
locale.address_line_1.es,Dirección,,,,,,,,,,,,,,
locale.address_line_2.es,Dirección,,,,,,,,,,,,,,
locale.address_line_3.es,Dirección,,,,,,,,,,,,,,
locale.carrier_code.es,Código de la empresa,,,,,,,,,,,,,,
locale.contact.es,Contacto,,,,,,,,,,,,,,
locale.tel.es,Tel,,,,,,,,,,,,,,
locale.fax.es,Fax,,,,,,,,,,,,,,
locale.email.es,E-mail,,,,,,,,,,,,,,
locale.country_or_area.ru,Страна или зона,,,,,,,,,,,,,,
locale.iso_code.ru,код ИСО,,,,,,,,,,,,,,
locale.company_name.ru,Название,,,,,,,,,,,,,,
locale.address_line_1.ru,адрес компании,,,,,,,,,,,,,,
locale.address_line_2.ru,адрес компании,,,,,,,,,,,,,,
locale.address_line_3.ru,адрес компании,,,,,,,,,,,,,,
locale.carrier_code.ru,Код компании (код оператора связи),,,,,,,,,,,,,,
locale.contact.ru,Для контактов,,,,,,,,,,,,,,
locale.tel.ru,Тел.,,,,,,,,,,,,,,
locale.fax.ru,Факс,,,,,,,,,,,,,,
locale.email.ru,Эл. Почта,,,,,,,,,,,,,,
locale.country_or_area.zh,国家或区域,,,,,,,,,,,,,,
locale.iso_code.zh,ISO代码,,,,,,,,,,,,,,
locale.company_name.zh,企业名称,,,,,,,,,,,,,,
