METADATA,,,,
locale.applicant.en,Applicant,,,
locale.network.en,Network,,,
locale.cc_ic.en,Country Code and Identification Code,,,
locale.status.en,Status,,,
locale.applicant.fr,Requérant,,,
locale.network.fr,Réseau,,,
locale.cc_ic.fr,Indicatif de pays et Code d'identification,,,
locale.status.fr,Situation,,,
locale.applicant.es,Solicitante,,,
locale.network.es,Red,,,
locale.cc_ic.es,Indicativo de país y Código de Identificación,,,
locale.status.es,Situación,,,
locale.applicant.ru,Заявитель ,,,
locale.network.ru,Сеть ,,,
locale.cc_ic.ru,Код страны и код идентификации ,,,
locale.status.ru,Состояние ,,,
locale.applicant.zh,申请人,,,
locale.network.zh,网络,,,
locale.cc_ic.zh,国家代码和识别码,,,
locale.status.zh,状态,,,
locale.applicant.ar,مقدم الطلب,,,
locale.network.ar,الشبكة,,,
locale.cc_ic.ar,"الرمز الدليلي للبلد
ورمز تعرف الهوية
",,,
locale.status.ar,الوضع,,,
,,,,
DATA,,,,
applicant,network,cc_ic,status,formerly
MediaLincc Ltd,MediaLincc Ltd,+883 100,Assigned,
Aicent Inc.,Aicent Inc.,+883 110,Assigned,
Telenor Connexion AB,Telenor Connexion AB,+883 120,Assigned,
Orange,Orange,+883 130,Assigned,France Telecom Orange
Multiregional TransitTelecom (MTT),Multiregional TransitTelecom (MTT),+883 140,Assigned,
BodyTrace Netherlands B.V.,BodyTrace Netherlands B.V.,+883 150,Assigned,
DCN Hub ehf,DCN Hub ehf,+883 160,Assigned,
EMnify GmbH,EMnify GmbH,+883 170,Assigned,
Ooredoo,Ooredoo,+883 180,Assigned,
Com4 Sweden AB,Com4 Sweden AB,+883 190,Assigned,
Manx Telecom Trading Ltd.,Manx Telecom Trading Ltd.,+883 200,Assigned,
Voxbone SA,Voxbone SA,+883 5100,Assigned,
Bandwidth.com Inc,Bandwidth.com Inc,+883 5110,Assigned,
MTX Connect,MTX Connect,+883 5120,Assigned,
SIPME Ltd,SIPME Ltd,+883 5130,Assigned,
Ellipsat Inc,Ellipsat Inc,+883 5140,Assigned,
Wins Limited,Wins Limited,+883 5150,Assigned,
Tel2tel kft.,Tel2tel kft.,+883 5160,Assigned,
