METADATA,,,
title.en,"Associated with shared mobile country code 901, the following two-digit mobile network codes (MNC) have been reserved for or assigned to the international mobile networks",,
title.fr,"Associés à l’indicatif de pays du mobile (MCC) 901 attribué en partage, les codes de réseau mobile (MNC) à deux chiffres ci-après, ont été réservés pour les réseaux du système mobile ou attribués à ces réseaux:
",,
title.es,"Asociados con el indicativo de país para el servicio movíl (MCC) 901 compartido, los siguientes indicativos de red para el sevicio movíl (MNC) de dos cifras han sido reservados para las redes del sistema movíl internacional o asignados a las mismas",,
title.ru,"Следующий двузначный код сети подвижной связи (MNC), связанный с общим кодом страны в системе подвижной связи 901, зарезервирован для международных сетей подвижной связи или присвоен международным сетям подвижной связи:",,
title.zh,配合共用的移动国家代码901，以下两位移动网络代码（MNC）以留用或指配给国际移动网络：,,
title.ar,جرى حجز أو تخصيص رمز الشبكة المتنقلة (MNC) التالي المكون من رقمين والمرتبط بالرمز الدليلي القُطري المشترك 901 للشبكات المتنقلة الدولية,,
locale.network.en,Network,,
locale.mcc_mnc.en,Mobile Country code (MCC) and Mobile Network code (MNC),,
locale.status.en,Status,,
locale.assigned.en,Assigned,,
locale.network.fr,Réseau,,
locale.mcc_mnc.fr,Indicatif de pays du mobile (MCC) et Code de réseau mobile (MNC,,
locale.status.fr,Situation,,
locale.assigned.fr,Attribué,,
locale.network.es,Red,,
locale.mcc_mnc.es,Indicativo de país para el servicio movíl (MCC) e Indicativo de red para el servicio movíl (MNC),,
locale.status.es,Situación,,
locale.assigned.es,Asignado,,
locale.network.ru,Сеть,,
locale.mcc_mnc.ru,Код страны в системе подвижной связи (MCC) и код сети подвижной связи (MNC),,
locale.status.ru,Статус,,
locale.assigned.ru,Присвоен,,
locale.network.zh,网络,,
locale.mcc_mnc.zh,移动国家代码（MCC）和 移动网络代码（MNC）,,
locale.status.zh,状态,,
locale.assigned.zh,已指配,,
locale.network.ar,الشبكة,,
locale.mcc_mnc.ar,"الرمز الدليلي القُطري للاتصالات المتنقلة (MCC) 
والرمز الدليلي للشبكة المتنقلة (MNC)
",,
locale.status.ar,الوضع,,
locale.assigned.ar,مخصص,,
,,,
,,,
DATA,,,
mcc_mnc,network,status,former_name
901 03,Iridium Communications Inc,assigned,
901 05,Thuraya RMSS Network,assigned,
901 06,Thuraya Satellite Telecommunications Company,assigned,
901 11,Inmarsat Ltd.,assigned,
901 12,Maritime Communications Partner AS (MCP network),assigned,
901 13,BebbiCell AG,assigned,Global Networks Switzerland AG
901 14,AeroMobile AS,assigned,
901 15,OnAir N.V. (Formerly SITA on behalf of Onair),assigned,
901 16,Jasper Technologies Inc.,assigned,"Jasper Wireless, Inc"
901 17,Jersey Telecom,assigned,
901 18,Cingular Wireless,assigned,
901 19,Vodafone Malta (Vodafone Group),assigned,
901 20,Intermatica,assigned,
901 21,Wins Limited,assigned,Seanet Maritime Communications AB
901 22,MediaLincc Ltd,assigned,
901 24,Voxbone SA,assigned,
901 26,Telecom Italia,assigned,
901 27,Monaco Telecom,assigned,
901 28,Vodafone Group,assigned,
901 29,Telenor Connexion AB,assigned,
901 31,Orange,assigned,France Telecom Orange
901 32,MegaFon,assigned,
901 33,"Smart Communications , Inc",assigned,
901 34,Tyntec Limited,assigned,
901 35,Globecomm Network Services,assigned,
901 36,Azerfon LLC,assigned,
901 37,TRANSATEL,assigned,
901 38,Multiregional TransitTelecom (MTT),assigned,
901 39,MTX Connect Ltd,assigned,
901 40,Deutsche Telekom AG,assigned,
901 41,BodyTrace Netherlands B.V.,assigned,
901 42,DCN Hub ehf,assigned,
901 43,EMnify GmbH,assigned,
901 44,"AT&T, Inc.",assigned,
901 45,Advanced Wireless Network Company Limited,assigned,
901 46,Telecom26 AG,assigned,
901 47,Ooredoo,assigned,
901 48,Com4 Sweden AB,assigned,
901 49,Zain Kuwait,assigned,
901 50,Sawatch Limited/EchoStar Mobile Limited,assigned,
901 51,VisionNG,assigned,
901 52,Manx Telecom Trading Ltd.,assigned,
901 53,Deutsche Telekom AG,assigned,
901 88,UN Office for the Coordination of Humanitarian Affairs (OCHA),assigned,
