METADATA,,,,,,,,,,,,
title.en,List of Signalling Area/Network Codes (SANC) (Complement to Recommendation ITU-T Q.708 (03/99)),,,,,,,,,,,
title.fr,Liste des codes de zone/réseau sémaphore (SANC) (Complément à la Recommandation UIT-T Q.708 (03/1999)),,,,,,,,,,,
title.es,Lista de códigos de zona/red de señalización (SANC) (Complemento de la Recomendación UIT-T Q.708 (03/1999)),,,,,,,,,,,
title.ru,Список зоновых/сетевых кодов сигнализации (SANC) (дополнение к Рекомендации МСЭ-Т Q.708 (03/1999)),,,,,,,,,,,
title.zh,信令区域/网络编码（SANC）的列表（ITU-T Q.708建议书（03/99）补遗）,,,,,,,,,,,
title.ar,قائمة بالرموز الدليلية لمناطق/شبكات التشوير (SANC) (تكملة للتوصية ITU-T Q.708 (99/03)),,,,,,,,,,,
locale.code.en,Code,,,,,,,,,,,
locale.area_or_network.en,Geographical Area or Signalling Network ,,,,,,,,,,,
locale.code.fr,Code,,,,,,,,,,,
locale.area_or_network.fr,Zone géographique ou réseau sémaphore – ordre numérique,,,,,,,,,,,
locale.code.es,Código,,,,,,,,,,,
locale.area_or_network.es,Zona geográfica o red de señalización – orden numérico,,,,,,,,,,,
locale.code.ru,Код,,,,,,,,,,,
locale.area_or_network.ru,Географическая зона или сеть сигнализации – нумерационный порядок,,,,,,,,,,,
locale.code.zh,代码,,,,,,,,,,,
locale.area_or_network.zh,地理区域或信令网络 – 按数字排序,,,,,,,,,,,
locale.code.ar,الرمز,,,,,,,,,,,
locale.area_or_network.ar,المنطقة الجغرافية أو شبكة التشوير - الترتيب العددي,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
DATA,,,,,,,,,,,,
code,area_or_network.en,area_or_network.fr,area_or_network.es,area_or_network.ru,area_or_network.zh,area_or_network.ar,note.en,note.fr,note.es,note.ru,note.zh,note.ar
2-000,Liechtenstein (Principality of),Liechtenstein (Principauté de),Liechtenstein (Principado de),Лихтенштейн (Княжество),列支敦士登（公国）,إمارة ليختنشتاين,,,,,,
2-001,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-002,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-003,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-004,Greece,Grèce,Grecia,Греция,希腊,اليونان,,,,,,
2-005,Greece,Grèce,Grecia,Греция,希腊,اليونان,,,,,,
2-006,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-007,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-008,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-009,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-010,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-011,Netherlands (Kingdom of the),Pays-Bas (Royaume des),Países Bajos (Reino de los),Нидерланды (Королевство),荷兰（王国）,مملكة هولندا,,,,,,
2-012,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,,,,,,
2-013,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,,,,,,
2-014,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,,,,,,
2-015,Belgium,Belgique,Bélgica,Бельгия,比利时,بلجيكا,,,,,,
2-016,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-017,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-018,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-019,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-020,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-021,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-022,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-023,France,France,Francia,Франция,法国,فرنسا,,,,,,
2-024,Monaco (Principality of),Monaco (Principauté de),Mónaco (Principado de),Монако (Княжество),摩纳哥（公国）,إمارة موناكو,,,,,,
2-025,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,
2-026,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,
2-027,Spain,Espagne,España,Испания,西班牙,إسبانيا,,,,,,
2-028,Spain,Espagne,España,Испания,西班牙,إسبانيا,,,,,,
2-029,Spain,Espagne,España,Испания,西班牙,إسبانيا,,,,,,
2-030,Spain,Espagne,España,Испания,西班牙,إسبانيا,,,,,,
2-031,Spain,Espagne,España,Испания,西班牙,إسبانيا,,,,,,
2-032,Hungary,Hongrie,Hungría,Венгрия,匈牙利,هنغاريا,,,,,,
2-033,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-034,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-035,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-036,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-037,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-038,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-039,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),Германия (Федеративная Республика),德意志（联邦共和国）,جمهورية ألمانيا الاتحادية,,,,,,
2-040,Serbia (Republic of),Serbie (République de),Serbia (República de),Сербия (Республика),塞尔维亚（共和国）,جمهورية صربيا,,,,,,
2-041,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-042,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-043,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-044,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-045,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-046,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-047,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-048,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-049,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-050,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-051,Italy,Italie,Italia,Италия,意大利,إيطاليا,,,,,,
2-052,Romania,Roumanie,Rumania,Румыния,罗马尼亚,رومانيا,,,,,,
2-053,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-054,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-055,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-056,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-057,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-058,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-059,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-060,Czech Republic,République tchèque,República Checa,Чешская Республика,捷克共和国,الجمهورية التشيكية,,,,,,
2-061,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-062,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-063,Switzerland (Confederation of),Suisse (Confédération),Suiza (Confederación),Швейцарская Конфедерация,瑞士（联邦）,الاتحاد السويسري,,,,,,
2-064,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,
2-065,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,
2-066,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,
2-067,Austria,Autriche,Austria,Австрия,奥地利,النمسا,,,,,,
2-068,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,Соединенное Королевство Великобритании и Северной Ирландии,大不列颠及北爱尔兰联合王国,المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية,,,,,,
