METADATA,,,,,,,,,,,,
title.en,List of Issuer Identifier Numbers for the international Telecommunication charge card (In accordance with Recommendation ITU-T E.118),,,,,,,,,,,
title.fr,Liste des numéros identificateurs d'entités émettrices pour les cartes internationales de facturation des télécommunications (selon la Recommandation UIT-T E.118),,,,,,,,,,,
title.es,Lista de números de identificación de expedidor de la tarjeta con cargo a cuenta para telecomunicaciones internacionales (según la Recomendación UIT-T E.118),,,,,,,,,,,
title.ru,Список идентификационных номеров эмитентов ‎международной карты для расчетов за электросвязь ‎‎(согласно Рекомендации МСЭ-Т E.118)‎,,,,,,,,,,,
title.zh,国际电信计账卡的颁发者标识号码列表（根据ITU-T E.118建议书）,,,,,,,,,,,
title.ar,قائمة بأرقام تعرّف جهة الإصدار لبطاقة رسوم الاتصالات الدولية (وفقاً للتوصية ITU T E.118),,,,,,,,,,,
locale.country_or_area.en,Country/Geographical area,,,,,,,,,,,
locale.company_name.en,Company Name,,,,,,,,,,,
locale.company_address.en,Company Address,,,,,,,,,,,
locale.issue_id_number.en,Issuer Identifier Number,,,,,,,,,,,
locale.contact.en,Contact,,,,,,,,,,,
locale.country_or_area.fr,Pays/zone géographique,,,,,,,,,,,
locale.company_name.fr,Nom de la compagnie,,,,,,,,,,,
locale.company_address.fr,adresse,,,,,,,,,,,
locale.issue_id_number.fr,Numéro identificateur d'entité émettrice,,,,,,,,,,,
locale.contact.fr,Contact,,,,,,,,,,,
locale.country_or_area.es,País/zona geográfica,,,,,,,,,,,
locale.company_name.es,Empresa,,,,,,,,,,,
locale.company_address.es,Dirección,,,,,,,,,,,
locale.issue_id_number.es,Núm. Identificador de expedidor,,,,,,,,,,,
locale.contact.es,Contacto,,,,,,,,,,,
locale.country_or_area.ru,Страна/географическая зона,,,,,,,,,,,
locale.company_name.ru,Название компании,,,,,,,,,,,
locale.company_address.ru,адрес компании,,,,,,,,,,,
locale.issue_id_number.ru,Идентификационный номер эмитента,,,,,,,,,,,
locale.contact.ru,Для контактов,,,,,,,,,,,
locale.country_or_area.zh,国家/地理区域,,,,,,,,,,,
locale.company_name.zh,公司名称,,,,,,,,,,,
locale.company_address.zh,公司地址,,,,,,,,,,,
locale.issue_id_number.zh,发行人识别码,,,,,,,,,,,
locale.contact.zh,联系信息,,,,,,,,,,,
locale.country_or_area.ar,البلد/ المنطقة الجغرافية,,,,,,,,,,,
locale.company_name.ar,اسم الشركة,,,,,,,,,,,
locale.company_address.ar,عنوان الشركة,,,,,,,,,,,
locale.issue_id_number.ar,"رقم تعرّف 
جهة الإصدار",,,,,,,,,,,
