METADATA,,,,,,,,
locale.shared_mcc_others.en,Shared Mobile Country Codes (MCC) for other purposes and their respective Mobile Network Codes (MNC),,,,,,,
locale.shared_mcc_others.fr,Indicatifs de pays du mobile (MCC) partagés pour d'autres usages et codes de réseau du mobile (MNC) qui leur sont associés,,,,,,,
locale.shared_mcc_others.es,MCC compartidos para otras utilizaciones y sus respectivos indicativos de red para el servicio móvil (MNC),,,,,,,
locale.shared_mcc_others.ru,"Общие коды страны в системе подвижной связи (MCC), предназначенные для иных целей, и их соответствующие коды сетей подвижной связи (MNC)",,,,,,,
locale.shared_mcc_others.zh,用于其他用途的共用移动国家代码（MCC）及其各自的移动网络代码（MNC）,,,,,,,
locale.shared_mcc_others.ar,الرموز الدليلية القُطرية للاتصالات المتنقلة (MCC) المشتركة للأغراض الأخرى والرموز الدليلية للشبكات المتنقلة (MNC) الخاصة بها,,,,,,,
locale.applicant.en,Applicant/Network,,,,,,,
locale.purpose.en,Purpose,,,,,,,
locale.applicant.es,Solicitante/Red,,,,,,,
locale.purpose.es,utilizaciones ,,,,,,,
locale.applicant.fr,Demandeur/Réseau,,,,,,,
locale.purpose.fr,partagés,,,,,,,
locale.applicant.ru,Заявитель/сеть,,,,,,,
locale.purpose.ru,целей,,,,,,,
locale.applicant.zh,申请人/网络,,,,,,,
locale.purpose.zh,用途,,,,,,,
locale.applicant.ar,مقدم الطلب/الشبكة,,,,,,,
locale.purpose.ar,هدف,,,,,,,
,,,,,,,,
DATA,,,,,,,,
mcc_mnc_codes,applicant,purpose.en,purpose.fr,purpose.es,purpose.ru,purpose.zh,purpose.ar,temporary_assignment_to
902 01,MulteFire Alliance,shared code,indicatif partagé,indicativo compartido,Общий код,共用代码,رمز مشترك,
991 01,World’s Global Telecom,"Trial of a proposed new international telecommunication service, shared code","Essai d'un nouveau service proposé de télécommunications internationales, indicatif partagé","Prueba de un nuevo servicio de telecomunicación internacional propuesto, indicativo compartido","Испытание предлагаемой новой услуги международной электросвязи, общий код ",拟议新国际电信业务试验，共享代码 ,"تجربة خدمة مقترحة جديدة للمراسلات العمومية للاتصالات الدولية، رمز مشترك",2020-01-14
