METADATA,,,,,,,,,,,
title.en,Various tones used in national networks,,,,,,,,,,
title.fr,DIFFÉRENTES TONALITÉS RENCONTRÉES DANS LES RÉSEAUX NATIONAUX ,,,,,,,,,,
title.es,DIFERENTES TONOS UTILIZADOS EN LAS REDES NACIONALES ,,,,,,,,,,
locale.country_or_area.en,Country,,,,,,,,,,
locale.tone.en,Tone,,,,,,,,,,
locale.frequency_in_hz.en,FREQUENCY in Hz,,,,,,,,,,
locale.cadence_in_s.en,CADENCE in seconds,,,,,,,,,,
locale.country_or_area.fr,PAYS,,,,,,,,,,
locale.tone.fr,TONALITÉ,,,,,,,,,,
locale.frequency_in_hz.fr,FRÉQUENCE en Hz,,,,,,,,,,
locale.cadence_in_s.fr,CADENCE en secondes,,,,,,,,,,
locale.country_or_area.es,PAÍS,,,,,,,,,,
locale.tone.es,TONO,,,,,,,,,,
locale.frequency_in_hz.es,FRECUENCIA en Hz,,,,,,,,,,
locale.cadence_in_s.es,CADENCIA en segundos,,,,,,,,,,
locale.dial_tone.en,Dial Tone: A tone advising that the exchange is ready to receive call information and inviting the user to start sending call information.,,,,,,,,,,
locale.ringing_tone.en,Ringing Tone: A tone advising the caller that a connection has been made and that a calling signal is being applied to a telephone number or service point.,,,,,,,,,,
locale.busy_tone.en,Busy Tone: A tone advising the caller that the telephone number is busy.,,,,,,,,,,
locale.congestion_tone.en,Congestion Tone: A tone advising the caller that the groups of lines or switching equipment necessary for the setting-up of the required call or for the use of a specific service are temporarily engaged.,,,,,,,,,,
locale.special_information_tone.en,"Special Information Tone: A tone advising the caller that the called number cannot be reached for reasons other than ""subscriber busy"" or ""congestion"". The tone may also be used in conjunction with recorded announcements to signify that what the caller is about to hear is a recording. It should always be used to precede all call failure announcements.",,,,,,,,,,
locale.call_waiting_tone.en,Call Waiting Tone: A tone advising the user of the call waiting supplementary service who is engaged on a call that someone is attempting to call his number.,,,,,,,,,,
locale.pay_tone.en,Pay Tone: A tone advising users of a payphone that a payment is required.,,,,,,,,,,
locale.dial_tone.fr,Tonalité de numérotation: Tonalité signifiant que le commutateur est prêt à recevoir l'information d'appel et invitant l'usager à commencer à envoyer cette information.,,,,,,,,,,
locale.ringing_tone.fr,Tonalité de retour d'appel: Tonalité transmise au demandeur pour l'informer qu'une connexion a été établie et qu'un signal d'appel est en cours d'application au numéro de téléphone ou au point de service distant.,,,,,,,,,,
locale.busy_tone.fr,Tonalité d'occupation: Tonalité transmise au demandeur pour l'informer que le numéro de téléphone distant est occupé.,,,,,,,,,,
locale.congestion_tone.fr,Tonalité d'encombrement: Tonalité transmise au demandeur pour l'informer que les faisceaux de circuits ou les équipements de commutation nécessaires à l'établissement de la communication demandée ou à l'utilisation d'un service déterminé sont temporairement occupés.,,,,,,,,,,
locale.special_information_tone.fr,Tonalité spéciale d'information: Tonalité transmise au demandeur pour l'informer que le numéro demandé ne peut être atteint pour des raisons autres que l'occupation ou l'encombrement. La tonalité peut aussi être utilisée conjointement avec des annonces enregistrées avisant le demandeur que ce qu'il va entendre est un enregistrement. Elle doit toujours précéder l'annonce de l'échec de l'aboutissement d'un appel.,,,,,,,,,,
locale.call_waiting_tone.fr,"Tonalité d'appel en attente: Tonalité transmise à l'utilisateur du service supplémentaire d'appel en instance qui est engagé dans une conversation, pour l'avertir que quelqu'un tente d'atteindre son numéro.",,,,,,,,,,
locale.pay_tone.fr,Tonalité de paiement: Tonalité transmise à l'utilisateur d'un publiphone pour l'avertir qu'il doit procéder à un paiement.,,,,,,,,,,
locale.dial_tone.es,Tono de invitación a marcar: Indicación audible en forma de tonalidad de que la central está preparada para recibir la información de llamada y que invita al usuario a que comience a enviar dicha información.,,,,,,,,,,
locale.ringing_tone.es,Tono de llamada: Indicación audible en forma de tonalidad enviada al que llama para informarle de que se ha establecido una conexión y que se está aplicando una señal de llamada al número telefónico o punto de servicio distantes.,,,,,,,,,,
locale.busy_tone.es,Tono de ocupado: Indicación audible en forma de tonalidad enviada al que llama para informarle de que el número telefónico distante está ocupado.,,,,,,,,,,
locale.congestion_tone.es,Tono de congestión: Indicación audible en forma de tonalidad enviada al que llama para informarle de que los haces de circuitos o equipos de conmutación necesarios para el establecimiento de la comunicación solicitada o para la utilización de un servicio específico están ocupados temporalmente.,,,,,,,,,,
locale.special_information_tone.es,Tono especial de información: Indicación audible en forma de tonalidad enviada al que llama para informarle de que el número solicitado no puede obtenerse por una causa distinta de las de «abonado ocupado» o «congestión». Este tono puede utilizarse también conjuntamente con anuncios grabados para indicar al que llama que las palabras que va a oír constituyen una grabación. Debe utilizarse siempre para introducir todos los anuncios de fallos de la llamada.,,,,,,,,,,
locale.call_waiting_tone.es,"Tono de indicación de llamada en espera: Indicación audible en forma de tonalidad enviada a un usuario del servicio suplementario de indicación de llamada en espera que está ocupado en una comunicación, para informarle de que alguien está tratando de llamar a su número.",,,,,,,,,,
locale.pay_tone.es,Tono de pago: Indicación audible en forma de tonalidad enviada al usuario de un teléfono de previo pago para informarle de que es necesario efectuar un pago.,,,,,,,,,,
,,,,,,,,,,,
DATA,,,,,,,,,,,
country_or_area.en,country_or_area.fr,country_or_area.es,tone_desc.en,tone_desc.fr,tone_desc.es,frequency_in_hz,cadence_in_s,notes.en,analogue,pabx,tone_type
Albania (Republic of),Albanie (République d'),Albania (República de),Busy tone,Tonalité d'occupation - ,Tono de ocupado - ,425,0.5 on 0.5 off,,,,busy
Albania (Republic of),Albanie (République d'),Albania (República de),Congestion tone,Tonalité d'encombrement - ,Tono de congestión - ,425,0.2 on 0.2 off,,,,congestion
