METADATA,,,,,
title.en,List of Data Network Identification Codes (DNIC),,,,
title.es,Lista de códigos de identificación de red de datos (CIRD),,,,
title.fr,Liste des codes d'identification de réseau pour données (CIRD),,,,
locale.country_or_area.en,Country/Area,,,,
locale.dnic_number.en,DNIC No.,,,,
locale.network_name.en,Name of network to which a DNIC is allocated,,,,
locale.country_or_area.fr,Pays/Zone,,,,
locale.dnic_number.fr,CIRD N°,,,,
locale.network_name.fr,Nom du réseau auquel un CIRD est attribué,,,,
locale.country_or_area.es,País/Zona,,,,
locale.dnic_number.es,CIRD N.°,,,,
locale.network_name.es,Nombre de la red a la cual se ha atribuido el CIRD,,,,
,,,,,
DATA,,,,,
dnic_number,country_or_area.en,country_or_area.es,country_or_area.fr,network_name,note
603 0,ALGERIA,ARGELIA,ALGÉRIE,DZ PAC (Réseau public de données à commutation par paquet),
213 5,ANDORRA,ANDORRA,ANDORRE,ANDORPAC,
631 5,ANGOLA,ANGOLA,ANGOLA,ANGOPAC,
344 3,ANTIGUA AND BARBUDA,ANTIGUA Y BARBUDA,ANTIGUA-ET-BARBUDA,Antigua Packet Switched Service,
722 1,ARGENTINA,ARGENTINA,ARGENTINE,Nodo Internacional de Datos – TELINTAR,
722 2,ARGENTINA,ARGENTINA,ARGENTINE,ARPAC (ENTEL),
722 3,ARGENTINA,ARGENTINA,ARGENTINE,EASYGATE (ATT),
283 0,ARMENIA,ARMENIA,ARMÉNIE,ArmPac,
505 2,AUSTRALIA,AUSTRALIA,AUSTRALIE,Telstra Corporation Ltd. – AUSTPAC packet switching network,
505 3,AUSTRALIA,AUSTRALIA,AUSTRALIE,Telstra Corporation Ltd. – AUSTPAC International,
505 7,AUSTRALIA,AUSTRALIA,AUSTRALIE,Australian Private Networks,
232 2,AUSTRIA,AUSTRIA,AUTRICHE,Dataswitch (DATAKOM),"use internally, see OB 971"
232 9,AUSTRIA,AUSTRIA,AUTRICHE,Radausdata (DATAKOM),
400 1,AZERBAIJAN,AZERBAIYÁN,AZERBAÏDJAN,AZPAK (Azerbaijan Public Packet Switched Data Network),
400 2,AZERBAIJAN,AZERBAIYÁN,AZERBAÏDJAN,«AzEuroTel» Joint Venture,
426 0,BAHRAIN,BAHREIN,BAHREÏN,Batelco GSM Service,
426 2,BAHRAIN,BAHREIN,BAHREÏN,Bahrain Managed Data Network (MADAN),
426 3,BAHRAIN,BAHREIN,BAHREÏN,Batelco Packet Switched Node,
342 2,BARBADOS,BARBADOS,BARBADE,CARIBNET,
342 3,BARBADOS,BARBADOS,BARBADE,International Data Base Access Service (IDAS),
257 0,BELARUS,BELARÚS,BÉLARUS,BELPAK,
206 2,BELGIUM,BÉLGICA,BELGIQUE,Réseau de transmission de données à commutation par paquets (DCS),
206 4,BELGIUM,BÉLGICA,BELGIQUE,CODENET,
206 5,BELGIUM,BÉLGICA,BELGIQUE,(Le code est utilisé au niveau national pour le réseau DCS),
206 6,BELGIUM,BÉLGICA,BELGIQUE,Unisource Belgium X.25 Service,
206 7,BELGIUM,BÉLGICA,BELGIQUE,MOBISTAR,
206 8,BELGIUM,BÉLGICA,BELGIQUE,Accès au réseau DCS via le réseau télex commuté national,
206 9,BELGIUM,BÉLGICA,BELGIQUE,Accès au réseau DCS via le réseau téléphonique commuté national,
350 2,BERMUDA,BERMUDAS,BERMUDES ,Cable and Wireless Data Communications Node,
350 3,BERMUDA,BERMUDAS,BERMUDES ,Cable and Wireless Packet Switched Node,
218 0,BOSNIA AND HERZEGOVINA,BOSNIA Y HERZEGOVINA,BOSNIE-HERZÉGOVINE,BIHPAK,
724 0,BRAZIL,BRASIL,BRÉSIL,International Packet Switching Data Communication Service (INTERDATA),
724 1,BRAZIL,BRASIL,BRÉSIL,National Packet Switching Data Communication Service (RENPAC),
724 2,BRAZIL,BRASIL,BRÉSIL,RIOPAC,
724 3,BRAZIL,BRASIL,BRÉSIL,MINASPAC,
724 4,BRAZIL,BRASIL,BRÉSIL,TRANSPAC,
724 5,BRAZIL,BRASIL,BRÉSIL,Fac Simile Service (DATA FAX),
724 6,BRAZIL,BRASIL,BRÉSIL,BRAZILIAN PRIVATE NETWORKS,
724 7,BRAZIL,BRASIL,BRÉSIL,DATASAT BI,
725 1,BRAZIL,BRASIL,BRÉSIL,S.PPAC,
725 2,BRAZIL,BRASIL,BRÉSIL,TELEST PUBLIC PACKET DATA NETWORK,
725 3,BRAZIL,BRASIL,BRÉSIL,TELEMIG Public Switched Packet Data Network,
725 4,BRAZIL,BRASIL,BRÉSIL,PACPAR,
725 5,BRAZIL,BRASIL,BRÉSIL,CRT/CTMR,
725 6,BRAZIL,BRASIL,BRÉSIL,Western and Midwestern Public Switched Packet Data Network,
725 7,BRAZIL,BRASIL,BRÉSIL,TELEBAHIA and TELERGIPE Public Switched Packet Data Network,
725 8,BRAZIL,BRASIL,BRÉSIL,Northeastern Public Switched Packet Data Network,
725 9,BRAZIL,BRASIL,BRÉSIL,Northern Public Switched Packet Data Network,
613 2,BURKINA FASO,BURKINA FASO,BURKINA FASO,FASOPAC,
624 2,CAMEROON,CAMERÚN,CAMEROUN,CAMPAC,
302 0,CANADA,CANADÁ,CANADA,Telecom Canada Datapak Network,
302 1,CANADA,CANADÁ,CANADA,Telecom Canada PSTN Access,
302 2,CANADA,CANADÁ,CANADA,Stentor Private Packet Switched Data Network Gateway,
302 3,CANADA,CANADÁ,CANADA,Stentor ISDN Identification,
302 4,CANADA,CANADÁ,CANADA,Teleglobe Canada – Globedat-C Circuit Switched Data Transmission,
302 5,CANADA,CANADÁ,CANADA,Teleglobe Canada – Globedat-P Packed Switched Data Transmission,
302 6,CANADA,CANADÁ,CANADA,AT&T Canada Long Distance Services – FasPac,
302 8,CANADA,CANADÁ,CANADA,AT&T Canada Long Distance Services – Packet Switched Public Data Network    (PSPDN),
303 6,CANADA,CANADÁ,CANADA,Sprint Canada Frame Relay Service – Packet-Switched Network,
303 7,CANADA,CANADÁ,CANADA,"TMI Communications, Limited Partnership – Mobile Data Service (MDS) X.25 public switched data network",
303 8,CANADA,CANADÁ,CANADA,Canada Post – POSTpac – X.25 Packet Switched Data Network,
