METADATA,,,,,,,,
title.en,Two-letter telegram network codes corresponding to one-letter Telex Network Identification Codes (TNIC),,,,,,,
title.fr,Codes de réseau des télégrammes à deux lettres qui correspondent aux codes d'identification de réseau télex (CIRT) à une lettre,,,,,,,
title.es,Códigos de red de telegramas de dos letras correspondientes a los Códigos de Identificación de Red Télex (CIRT) de una letra,,,,,,,
locale.tnic.en,TNIC,,,,,,,
locale.tnic.fr,CIRT,,,,,,,
locale.tnic.es,CIRT,,,,,,,
locale.telegram_network_codes.en,Two-letter telegram network codes,,,,,,,
locale.telegram_network_codes.fr,Codes de réseau des télégrammes à deux lettres,,,,,,,
locale.telegram_network_codes.es,Códigos de red de telegramas de dos letras,,,,,,,
locale.country.en,Country,,,,,,,
locale.country.fr,Pays,,,,,,,
locale.country.es,País,,,,,,,
,,,,,,,,
DATA,,,,,,,,
tnic_code[string],telegram_network_codes[string],country.en[string],country.fr[string],country.es[string],,,,
A,AU,Austria,Autriche,Austria,,,,
B,BE,Belgium,Belgique,Bélgica,,,,
C,CS,Czech Republic,République tchèque,República Checa,,,,
D,DP,Germany (Federal Republic of),Allemagne (République fédérale d'),Alemania (República Federal de),,,,
E,ES,Spain,Espagne,España,,,,
F,FR,France,France,Francia,,,,
G,GB,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,Reino Unido de Gran Bretaña e Irlanda del Norte,,,,
H,HU,Hungary (Republic of),Hongrie (République de),Hungría (República de),,,,
I,"IG, IT, IU",Italy,Italie,Italia,,,,
J,JP,Japan,Japon,Japón,,,,
K,KR,Korea (Republic of),Corée (République de),Corea (República de),,,,
M,MP,Morocco (Kingdom of),Maroc (Royaume du),Marruecos (Reino de),,,,
N,NO,Norway,Norvège,Noruega,,,,
P,"PC, PJ, PO",Portugal,Portugal,Portugal,,,,
R,RM,Romania,Roumanie,Rumania,,,,
S,SW,Sweden,Suède,Suecia,,,,
,,,,,,,,
