METADATA,,,,,,,,,,,,,,,,,,,,,,,,
title.en,Destination Indicators (DI) assigned to telegraph offices,,,,,,,,,,,,,,,,,,,,,,,
title.fr,Indicateurs de destination (ID) attribués aux bureaux télégraphiques,,,,,,,,,,,,,,,,,,,,,,,
title.es,Indicadores de destino (ID) atribuidos a oficinas telegráficas,,,,,,,,,,,,,,,,,,,,,,,
locale.country_or_area.en,Country / Geographical Area,,,,,,,,,,,,,,,,,,,,,,,
locale.country_or_area_note.en,Note (Area),,,,,,,,,,,,,,,,,,,,,,,
locale.subarea.en,Sub-area,,,,,,,,,,,,,,,,,,,,,,,
locale.network_roa.en,Network (administration/ROA),,,,,,,,,,,,,,,,,,,,,,,
locale.network_roa_note.en,Note (Network),,,,,,,,,,,,,,,,,,,,,,,
locale.network_code.en,Network code,,,,,,,,,,,,,,,,,,,,,,,
locale.network_code_note.en,Note (Network code),,,,,,,,,,,,,,,,,,,,,,,
locale.telegraph_office_name.en,Name of Telegraph Office,,,,,,,,,,,,,,,,,,,,,,,
locale.office_code.en,Office code,,,,,,,,,,,,,,,,,,,,,,,
locale.notes.en,Note (Entry),,,,,,,,,,,,,,,,,,,,,,,
locale.country_or_area.fr,Pays /zone géographique,,,,,,,,,,,,,,,,,,,,,,,
locale.country_or_area_note.fr,Note (Zone),,,,,,,,,,,,,,,,,,,,,,,
locale.subarea.fr,Sub-area,,,,,,,,,,,,,,,,,,,,,,,
locale.network_roa.fr,Réseau (administration/ER),,,,,,,,,,,,,,,,,,,,,,,
locale.network_roa_note.fr,Note(Réseau ),,,,,,,,,,,,,,,,,,,,,,,
locale.network_code.fr,Code de réseau,,,,,,,,,,,,,,,,,,,,,,,
locale.network_code_note.fr,Note(Code de réseau),,,,,,,,,,,,,,,,,,,,,,,
locale.telegraph_office_name.fr,Nom du bureau télégraphique,,,,,,,,,,,,,,,,,,,,,,,
locale.office_code.fr,Code de bureau,,,,,,,,,,,,,,,,,,,,,,,
locale.notes.fr,Note (Entry),,,,,,,,,,,,,,,,,,,,,,,
locale.country_or_area.es,País / zona geográfica,,,,,,,,,,,,,,,,,,,,,,,
locale.country_or_area_note.es,Note(Zona),,,,,,,,,,,,,,,,,,,,,,,
locale.subarea.es,Sub-area,,,,,,,,,,,,,,,,,,,,,,,
locale.network_roa.es,Red (administración/EER),,,,,,,,,,,,,,,,,,,,,,,
locale.network_roa_note.es,Note(Red),,,,,,,,,,,,,,,,,,,,,,,
locale.network_code.es,Código de red,,,,,,,,,,,,,,,,,,,,,,,
locale.network_code_note.es,Note(Código de red),,,,,,,,,,,,,,,,,,,,,,,
locale.telegraph_office_name.es,Nombre de la oficina telegráfica,,,,,,,,,,,,,,,,,,,,,,,
locale.office_code.es,Código  de oficina,,,,,,,,,,,,,,,,,,,,,,,
locale.notes.es,Note (Entry),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
DATA,type=array,,,,,,,,,,,,,,,,,,,,,,,
country_or_area.fr,country_or_area.en,country_or_area.es,country_or_area_note.en,country_or_area_note.fr,country_or_area_note.es,subarea.en,subarea.fr,subarea.es,network_roa,network_roa_note.en,network_roa_note.fr,network_roa_note.es,network_code,network_code_note.en,network_code_note.fr,network_code_note.es,telegraph_office_name.en,telegraph_office_name.fr,telegraph_office_name.es,office_code,notes.en,notes.fr,notes.es,
AFGHANISTAN,AFGHANISTAN,AFGANISTÁN,,,,,,,"GOVT – Ministry of Communications and Information Technology, Kabul",,,,AF- -,,,,Kabul,Kabul,Kabul,AFKL,,,,
