1a,1b,2,3,4a,4b,4c
1000,ADRAR ,+213 49 96 92 50,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
2000,ECH-CHELIF,+213 27 77 77 26,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
,LAGHOUAT,+213 29 93 28 45,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
4000,OUM-EL-BOUAGHI ,+213 32 42 18 69,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
5000,BATNA ,+213 33 81 31 25,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
,BEJAIA,+213 34 21 24 86,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
,BISKRA,+213 33 74 15 52,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
,BECHAR,+213 49 83 72 25,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
,BLIDA,+213 25 41 73 77,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
10000,BOUIRA,+213 26 94 14 55,3,Heures de service (heure locale): 0800-1800 samedi à mercredi 0800-1500 jeudi pas de service vendredi et jours fériés.,Opening hours (in local time): 0800-1800 Saturday to Wednesday 0800-1500 Thursday no service on Friday and public holidays.,Horas de servicio (en hora local): 0800-1800 sábado a miércoles 0800-1500 jueves no hay servicio el viernes y los días festivos.
