1a,1b,2,3,4a,4b,4c
1000-1219 1500-1999 3140-3159 3190-3199,BRUXELLES 1 Centre Monnaie,+32 2 2180099,3/2,0900-1700,0900-1200,-
2000-2079 2100-2699 2900-2999 3900-3949 3970-3989 9100-9199,"ANTWERPEN Vekestraat, 11",+32 3 2261155,3/2,0700-2100,0800-1500,-
8000-8999,BRUGGE Stationsplein 7,+32 50 381970,3/2,0700-2100,0800-1500,-
1400-1499 5600-5699 6000-6299 6400-6519 6530-6569 6590-6599,CHARLEROI Rue de la Villette 67,+32 71 367183,3/2,0700-2100,0800-1900,-
9000-9099 9200-9999,GENT Korenmarkt 16,+32 9 2243716,3/2,0700-2100,0800-1900,-
3500-3899 3950-3969 3990-3999,HASSELT Bampslaan 38,+32 11 224180,3/2,0700-2100,0900-1700,-
3000-3139 3160-3189 3200-3499,LEUVEN Tiense Vest 3,+32 16 233861,3/2,0700-2100,0900-1700,-
4990-4999 6600-6899,LIBRAMONT Place de la Gare,+32 61 224623,3/2,0700-2100,0900-1200,-
4000-4199 4300-4499 4600-4989,LIEGE Rue de la Régence 61,+32 41 237063,3/2,0700-2100,0800-1500,-
2800-2899,MECHELEN Station,+32 15 422400,3/2,0700-2100,0900-1500,-
7000-7199 7300-7399 7500-7999,MONS Place Léopold,+32 65 348475,3/2,0800-1900,0800-1200,-
1300-1399 4200-4299 4500-4599 5000-5199 5300-5389 5500-5599 6900-6999,NAMUR Boulevard E. Mélot 28,+32 81 228359,3/2,0700-2100,0900-1500,-
