1a,1b,2,3,4a,4b,4c
20000 000 - 64999 999,"RIO DE JANEIRO - RJ Av. Presidente Vargas, 3077",+55 21 3273 5998,3/2,0800-1800,0800-1800,0800-1800
70000 000 - 73699 999,"RIO DE JANEIRO - RJ Av. Presidente Vargas, 3077",+55 21 3273 5998,3/2,0800-1800,0800-1800,0800-1800
01000 000 - 19999 999,"SAO PAULO - SP Av. Prestes Maia, s/no",+55 11 3223 1344,3/2,0800-1800,0800-1800,0800-1800
65000 000 - 69999 999,"SAO PAULO - SP Av. Prestes Maia, s/no",+55 11 3223 1344,3/2,0800-1800,0800-1800,0800-1800
73700 000 - 99999 999,"SAO PAULO - SP Av. Prestes Maia, s/no",+55 11 3223 1344,3/2,0800-1800,0800-1800,0800-1800
,,,,,,
57000 000 - 57999 999,Alagoas (AL),RIO DE JANEIRO (RJ),,,,
69000 000 - 69999 999,Amazonas (AM) Roraima (RR) e Acre (AC),SAO PAULO (SP),,,,
40000 000 - 48999 999,Bahia (BA),RIO DE JANEIRO (RJ),,,,
59000 000 - 63999 999,Ceará (CE) e Rio Grande do Norte (RN) ,RIO DE JANEIRO (RJ),,,,
70000 000 - 73699 999,Distrito Federal  (DF),RIO DE JANEIRO (RJ),,,,
29000 000 - 29999 999,Espirito Santo (ES),RIO DE JANEIRO (RJ),,,,
73700 000 - 77999 999,Goiás (GO) e  Tocantis (TO),SAO PAULO (SP),,,,
65000 000 - 65999 999,Maranhão (MA),SAO PAULO (SP),,,,
78000 000 - 79999 999,"Mato Grosso (MT), Mato Grosso do  Sul (MS) e Rondônia (RO)",SAO PAULO (SP),,,,
30000 000 - 39999 999,Minas Gerais (MG),RIO DE JANEIRO (RJ),,,,
66000 000 - 68999 999,Pará (PA) e Amapá  (AP),SAO PAULO (SP),,,,
58000 000 - 58999 999,Paraíba (PB),RIO DE JANEIRO (RJ),,,,
80000 000 - 87999 999,Paraná (PR) ,SAO PAULO (SP),,,,
50000 000 - 56999 999,Pernambuco (PE),RIO DE JANEIRO (RJ),,,,
64000 000 - 64999 999,Piauí (PI),RIO DE JANEIRO (RJ),,,,
20000 000 - 28999 999,Rio de Janeiro (RJ),RIO DE JANEIRO (RJ),,,,
90000 000 - 99999 999,Rio Grande do Sul  (RS),SAO PAULO (SP),,,,
88000 000 - 89999 999,Santa Catarina (SC),SAO PAULO (SP),,,,
01000 000 - 19999 999,São Paulo (SP),SAO PAULO (SP),,,,
49000 000 - 49999 999,Sergipe (SE),SAO PAULO (SP),,,,
