1a,1b,2,3,4a,4b,4c
10XXXX,"BEIJING (BEIJING) Beijing Postal Courier Bureau 7, Qianmen Dong Da Jie",+86 10 6512 8684,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
13XXXX,"CHANGCHUN (JILIN) 21, Chang Hai Lu",+86 431 277 7542,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
11XXXX 12XXXX,"DALIAN (LIAONING) 134, Chanjiang Lu",+86 411 280 9093,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
35XXXX 36XXXX,"FUZHOU (FUJIAN) 48, Hua Lin Lu",+86 591 759 2600,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
51XXXX 52XXXX,"GUANGZHOU (GUANGDONG) 2, Zhannan Lu",+86 20 8668 0942,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
57XXXX,"HAIKOU (HAINAN) 16, Jie Fang Xi Lu",+86 898 866 8905,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
15XXXX 16XXXX,"HARBIN (HEILONGJIANG) 51, Jian She Jie",+86 451 363 2028,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
23XXXX 24XXXX,HEFEI (ANHUI) 89 Sui Xi Lu,+86 551 267 1713,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
01XXXX 02XXXX,"HUHEHAOTE (INNER MONGOLIA) 10, Zhongshan Dong Lu",+86 471 628 3720,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
25XXXX 26XXXX 27XXXX,"JINAN (SHANDONG) 66, Jing Yi Lu",+86 531 691 3040,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
65XXXX 66XXXX 67XXXX,"KUNMING (YUNNAN) 559, Beijing Road",+86 871 316 9883,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
73XXXX 74XXXX,"LANZHOU (GANSU) 137, Huochezhan Nam Lu",+86 931 861 7479,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
33XXXX 34XXXX,"NANCHANG (JIANGXI) 22, Zhan Qian Lu",+86 791 621 8144,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
21XXXX 22XXXX,"NANJING (JIANGSU) 238, Long Pan Lu",+86 25 446 0484,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
53XXXX 54XXXX,"NANNING (GUANGXI) Nanning Shi Post Office, Suzhou Lu",+86 771 242 0038,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
25XXXX 26XXXX 27XXXX,"QINGDAO (SHANDONG) 16, Mou Ping Lu.",+86 532 286 0002,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
20XXXX,"SHANGHAI (SHANGHAI) 276, Bei Suzhou Lu",+86 21 6324 8822,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
11XXXX 12XXXX,"SHENYANG (LIAONING) 78, Bei Zhan Lu",+86 24 252 7654,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
51XXXX 52XXXX,SHENZHEN (GUANGDONG),+86 755 340 0125,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
05XXXX 06XXXX 07XXXX,"SHIJIAZHUANG (HEBEI) 1, Gong Li Jie",+86 311 705 5407,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
43XXXX 44XXXX,"WUHAN (HUBEI) 14, Shanghai Lu",+86 27 281 0828,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
83XXXX,WULUMUQI (XINJIANG),+86 991 585 2499,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
35XXXX 36XXXX,"XIAMEN (FUJIAN) 6, Hu Bin Nam Lu",+86 592 205 2408,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
81XXXX,"XINING (QINGHAI) 1, Xi Da Jic",+86 971 824 7877,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
75XXXX,"YINCHUAN (NINGXIA) 2, Min Zu Bei Jie",+86 951 604 1496,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
45XXXX 46XXXX 47XXXX,"ZHENGZHOU (HENAN) 80, Yi Ma Lu",+86 371 696 9400,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
51XXXX 52XXXX,ZHUHAI (GUANGDONG),+86 756 222 5315,3/2,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays,0800-1700 Monday to Sunday no service on public holidays
,,,,,,
362000,Quanzhou,FUZHOU,,,,
518020,Shenzhen,GUANGZHOU,,,,
261011,Weifang,QINGDAO,,,,
362000,Zhangzhou,FUZHOU,,,,
519015,Zhuhai,GUANGZHOU,,,,
