1a,1b,2,3,4a,4b,4c
,ARMENIA Carrera 19 Calle 19 Esquina Quindio,+57 67 440290,3,0800-2000,0800-2000,0900-2000
,BARRANCABERMEJA C11. 9 Cra. 11 Esq.P.2 Santander,+57 76 222711,3,0800-2000,0800-2000,0900-2000
,BARRANQUILLA Cra. 44 N.o 38-26 Atlantico,+57 58 416014,3,0800-2000,0800-2000,0900-2000
,BOGOTA Cra. 8a. Calle 12 Cundinamarca,+57 1 2696100,3,0800-2000,0800-2000,0900-2000
,BUCARAMANGA C11 36 N.o 17-75 Santander,+57 1 2681960,3,0800-2000,0800-2000,0900-2000
,CALI Calle 10 Carrera 6a. Valle,+57 23 830797,3,0800-2000,0800-2000,0900-2000
,CARTAGENA Sector La Macarena Bolivar,+57 53 652270,3,0800-2000,0800-2000,0900-2000
,CUCUTA Av. O Calle 10 y 11 Santander,+57 70 20791,3,0800-2000,0800-2000,0900-2000
,FLORENCIA Principal Caquetá,+57 88 352783,3,0800-2000,0800-2000,0900-2000
,IBAGUE C11.14 N.o 3A-34 Tolima,+57 82 643053,3,0800-2000,0800-2000,0900-2000
,MANIZALES Cra. 23 Calle 21/22 Caldas,+57 68 842350,3,0800-2000,0800-2000,0900-2000
,MEDELLIN Calle 49 N.o 49-73 Antioquia,+57 4 2315090,3,0800-2000,0800-2000,0900-2000
,PEREIRA Calle 19 N.o 6-11 Risaralda,+57 63 351663,3,0800-2000,0800-2000,0900-2000
,S ANDRES Av. Américas N.o 2-63 Isla,+57 81 124196,3,0800-2000,0800-2000,0900-2000
,S MARTA Calle N.o 13 N.o 5-25 Magdalena,+57 58 451580,3,0800-2000,0800-2000,0900-2000
