1a,1b,2,3,4a,4b,4c
,Elteraa,+20 2 22054002,3,N,N,N
,"Shoubra Alkhema 1,2",+20 2 44713100,3,N,N,N
,Shoubra Alkhema 3,+20 2 44459841,3,N,N,N
,Shoubra Misr,+20 2 22046486,3,N,N,N
,Ramsis,+20 2 25789024,3,N,N,N
,Eltahreer,+20 2 25780979,3,N,N,N
,El Alfy,+20 2 25897635,3,N,N,N
,Bab El Sharia,+20 2 25931843,3,N,N,N
,El Galaa,+20 2 25748571,3,N,N,N
,El Kalaa,+20 2 25111826,3,N,N,N
,Mahatet Misr,+20 2 25749131,3,N,N,N
,Bab El Louk,+20 2 27948974,3,N,N,N
,El Roda Exchange,+20 2 23681898,3,N,N,N
,Magles El Shaab,+20 2 27962452,3,N,N,N
,El Zamalik,+20 2 27381505,3,N,N,N
,Mahatet El Maadi,+20 2 23585873,3,N,N,N
,El Maadi 3,+20 2 25260035,3,N,N,N
,Helwan Exchange,+20 2 25547849,3,N,N,N
,Dar El Salam,+20 2 27162857,3,N,N,N
,May,+20 2 25512358,3,N,N,N
,Port Said (main),+20 66 3333816,3,N,N,N
,Port Fouad (main),+20 66 3414661,3,N,N,N
,El Zhoor,+20 66 3606997,3,N,N,N
,Moubark,+20 66 3721910,3,N,N,N
,El Arish (main),+20 68 3352650,3,N,N,N
,Rafah,+20 68 3302460,3,N,N,N
,Dahiyet Al Salam,+20 68 3326124,3,N,N,N
,El ismailia (main),+20 64 3327896,3,N,N,N
,El Dokki,+20 2 33364431,3,N,N,N
,El Mohandseen,+20 2 33030169,3,N,N,N
,Embaba El Moshtarak,+20 2 33031891,3,N,N,N
,6 October,+20 2 38314475,3,N,N,N
,El omrania,+20 2 35602375,3,N,N,N
,El hawamdia Exchange,+20 2 38118685,3,N,N,N
,Nadi Madinet Nasr,+20 2 22620934,3,N,N,N
,Misr Al Gadida,+20 2 22400921,3,N,N,N
,El Mataria Exchange,+20 2 22518757,3,N,N,N
,El Marg Exchange,+20 2 24380438,3,N,N,N
,Badr,+20 2 28640835,3,N,N,N
,Almaza Exchange,+20 2 22917606,3,N,N,N
,Elkobba Exchange,+20 2 22564458,3,N,N,N
,Salah Eldeen,+20 2 22908792,3,N,N,N
,Manshiyet El Bakry,+20 2 22570025,3,N,N,N
,El sheraton,+20 2 22673880,3,N,N,N
,Nadi Alshams,+20 2 26236496,3,N,N,N
,El Rekaba Al Edaria,+20 2 24184866,3,N,N,N
,Alameria Exchange,+20 2 22840187,3,N,N,N
,Alnozha 1 Exchange,+20 2 22950044,3,N,N,N
,Alnozha 3 Exchange,+20 2 26974809,3,N,N,N
,Mall El Matar,+20 2 22678339,3,N,N,N
,Quena Al Mostagada,+20 96 5331722,3,N,N,N
,Nagaa Hamadi Balad,+20 96 6595770,3,N,N,N
,Luxor Al Namozagia,+20 95 2380913,3,N,N,N
,Winter Palace,+20 95 2371001,3,N,N,N
,Armant El Balad,+20 96 2623029,3,N,N,N
,Beni Suef El Balad,+20 82 2328807,3,N,N,N
,El Mahata,+20 82 2314606,3,N,N,N
,Al wasta,+20 82 2513659,3,N,N,N
,Naser,+20 82 5825072,3,N,N,N
,Al feshn,+20 82 7663344,3,N,N,N
,Beba,+20 82 4401377,3,N,N,N
,Samasta,+20 82 7600352,3,N,N,N
,Ahnasya,+20 82 5721853,3,N,N,N
,Baroot,+20 82 2173466,3,N,N,N
,Al Horria,+20 84 6301313,3,N,N,N
,Moustafa Kamel,+20 84 6344004,3,N,N,N
,Ebshaway,+20 84 6712905,3,N,N,N
,Senoras,+20 84 6903134,3,N,N,N
,Tamiah,+20 84 6611784,3,N,N,N
,Atsa,+20 84 6414242,3,N,N,N
,Koom osheem el senae,+20 84 6210004,3,N,N,N
,El Minia Mahata,+20 86 2343792,3,N,N,N
,Malawi,+20 86 2638621,3,N,N,N
,Abou Korkas,+20 86 2423405,3,N,N,N
,Deer Mowas,+20 86 2015520,3,N,N,N
,Samalout,+20 86 7715166,3,N,N,N
,Matai,+20 86 3920600,3,N,N,N
,Beni Mazar,+20 86 7826222,3,N,N,N
,Magaga,+20 86 7553666,3,N,N,N
,Al adwah,+20 86 7462666,3,N,N,N
,Tour sinai,+20 69 3773175,3,N,N,N
,Sharm El Sheikh,+20 69 3660015,3,N,N,N
,Dahab,+20 69 3641011,3,N,N,N
,Nowabaa El Balad,+20 69 3500063,3,N,N,N
,Menaa Nowabaa,+20 69 3520302,3,N,N,N
,Gomrok Nowabaa,+20 69 3520660,3,N,N,N
,Taba,+20 69 3530008,3,N,N,N
,St. catherine,+20 69 3470065,3,N,N,N
,Ras Sedr,+20 69 3402559,3,N,N,N
,Abou Zenema,+20 69 3420488,3,N,N,N
,Abou Redees,+20 69 3441201,3,N,N,N
,Al Dahar,+20 65 3545746,3,N,N,N
,Al Seiahy,+20 65 3440023,3,N,N,N
,Safaga,+20 65 3257048,3,N,N,N
,Al Kossier,+20 65 3337528,3,N,N,N
,El Suez Al omomy,+20 62 3322506,3,N,N,N
,Al Salam,+20 62 3511439,3,N,N,N
,Aswan (main),+20 97 2315931,3,N,N,N
,Draow,+20 97 4730926,3,N,N,N
,Kom ombo Al mostagada,+20 97 3514621,3,N,N,N
