1a,1b,2,3,4a,4b,4c
,CANDOS,+230 4248500,3/2,0830-1730,0830-1200,-
,CASSIS,+230 2087882,3/2,N,N,N
,FOREST SIDE,+230 6748500,3/2,0830-1730,0830-1200,-
,PLAINE VERTE,+230 2418500,3/2,0830-1730,0830-1200,-
,PORT LOUIS-PLC BUILDING,+230 2110500,3/2,0700-2200,0700-2200,0700-2200
,PORT LOUIS-ROGERS HOUSE,+230 2110600,3/2,0830-1730,0830-1400,-
,RIVIERE DU REMPART,+230 4128500,3/2,0830-1730,0830-1200,-
,ROSE HILL,+230 4648500,3/2,0830-1730,0830-1200,-
,TERRE ROUGE,+230 2488500,3/2,0830-1730,0830-1200,-
,TRIOLET,+230 2615500,3/2,0830-1730,0830-1200,-
