1a,1b,2,3,4a,4b,4c
,BHAIRAHWA Nepal Telecommunications Corporation Regional Office,+977 71 520828,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,BIRATNAGAR Nepal Telecommunications Corporation Regional Office,+977 21 525122,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,BIRGUNJ Nepal Telecommunications Corporation Regional Office,+977 51 522978,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,BUTWAL Nepal Telecommunications Corporation Telecom Office,+977 73 520600,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,DHANGADHI Nepal Telecommunications Corporation Regional Office,+977 91 522222,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,JANAKPUR Nepal Telecommunications Corporation Telecom Office,+977 41 520888,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,KATHMANDU Central Telegraph Office Tripureswor KTM,+977 1 422 1645,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,NEPALGUNJ Nepal Telecommunications Corporation Regional Office,+977 81 520888,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
,POKHARA Nepal Telecommunications Corporation Telecom Office,+977 61 521999,3,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays,1000-1700 Sunday to Friday no service on Saturday and public holidays
