1a,1b,2,3,4a,4b,4c
31142,DAMMAM Dammam Post Office Electronic Mail Service Department 29th Street,+966 3 826 8701 ,3,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays
21142,JEDDAH Jeddah Post Office Electronic Mail Service Department King Abdul Aziz Street,+966 2 647 3494,3,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays
11142,RIYADH Riyadh Post Office Electronic Mail Service Department Old Airport Road,+966 1 402 6411 ,3,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays,0800-2200 Saturday to Wednesday 0800-1200 Thursday 1600-1930 Thursday no service on Friday and public holidays
,,,,,,
,Abha,JEDDAH,,,,
,Alkhobar,DAMMAM,,,,
,Baha,JEDDAH,,,,
,Buraidah,RIYADH,,,,
,Daharan,DAMMAM,,,,
,Gizan,JEDDAH,,,,
,Hail,RIYADH,,,,
,Jouf,DAMMAM,,,,
,Madinah,JEDDAH,,,,
,Makkah,JEDDAH,,,,
,Taif,JEDDAH,,,,
