1a,1b,2,3,4a,4b,4c
11101,BEOGRAD 1 JPM Posta 1 Takovska 2,+381 11 32 46056 +381 11 32 46089,3,0800-1900,0800-1900,--
34000,"KRAGUJEVAC Telegraf Kralja Petra 1, 11",+381 34 62 534,3,0700-2100,0700-2100,0700-1400
18000,NIS Telegraf Vozdova 12-A,+381 18 24 246,3,0700-2000,0700-2000,0700-2000
,,,,,,
11000,Beograd 6 ,BEOGRAD,,,,
32101,Cacak,BEOGRAD,,,,
35000,Jagodina,KRAGUJEVAC,,,,
38220,Kosovska Mitrovica,BEOGRAD,,,,
34000,Kragujevac,KRAGUJEVAC,,,,
36101,Kraljevo,KRAGUJEVAC,,,,
19300,Negotin,NIS,,,,
18101,Nis,NIS,,,,
26101,Pancevo,BEOGRAD,,,,
12000,Pozarevac,BEOGRAD,,,,
38101,Pristina,BEOGRAD,,,,
15000,Sabac,BEOGRAD,,,,
11300,Smederevo,BEOGRAD,,,,
31000,Uzice,BEOGRAD,,,,
14000,Valjevo,BEOGRAD,,,,
19000,Zajecar,NIS,,,,
