1a,1b,2,3,4a,4b,4c,
,ENTEBBE P.O. Box 35 Entebbe,+256 41 234 9422,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,FORT PORTAL G.P.O. P.O. Box 66 Fort Portal,+256 483 222 636,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,JINJA G.P.O. P.O. Box 39 Jinja,+256 43 212 1322,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,"KAMPALA 20, Nasser Road P.O. Box 3980 Kampala",+256 41 234 5580,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,KAMPALA G.P.O. P.O. Box 3980 Kampala,+256 41 234 5597,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,MASAKA G.P.O. P.O. Box 470 Masaka,+256 481 221 514,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,MBALE G.P.O. P.O. Box 450 Mbale,+256 45 234 461,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,MBARARA G.P.O. P.O. Box 22 Mbarara,+256 485 221 304,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,NAKIVUBO P.O. P.O. Box 3980 Kampala,+256 41 223 5114,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,WANDEGEYA P.O. P.O. Box 3980 Kampala,+256 41 253 0412,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,
,COMMUNICATIONS HSE P.O. Box 3980 Kampala,+256 41 234 9202,3,0800-1800,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,Saturday from 0800 to 1400 hours; no service on Sundays or public holidays,

