Name,Address,Tel,Fax,Email,URL,OB
Aginet S.A.,"Florida
No. 470 Piso 3 DPTO 311 C1005AAJ BUENOS AIRES",,,,,843
Arcotel S.A.,"Avenida Córdoba
No. 3016 Piso 2 DPTO 20 C1187AAR BUENOS AIRES",+54 11 4964 3002,,,,843
Argentina de Soluciones Satelitales S.A. (AR- SAT S.A.),Bouchard 680 Piso 12 (C1106ABJ) BUENOS AIRES,+54 11 5811 2600,+54 11 5811 2688,eronco@arsat.com.ar,,
Argentina Telecard S.A.,"Esmeralda
No. 1080 Piso 7 DPTO C1007ABN BUENOS AIRES",+54 11 4893 1230,,,,843
AT&T Argentina S.A.,"Avenida Brasil
No. 97 Piso DPTO C1063AAA BUENOS AIRES",+54 11 4000 3760,,,,843
AZUL TEL INC.,"Sucursal Argentina Alicia Moreau de Justo
No. 1020 Piso 3 DPTO C1107AAV BUENOS AIRES",,,,,843
Ba Way S.R.L.,"Avenida Corrientes
No. 2322 Piso 12  DPTO 1210 C1046AAO BUENOS AIRES",+54 11 4723 9000,,,,843
Bantel S.A.,"9 de Julio
No. 162 Piso EP DPTO K/R X5000EMD CÓRDOBA",+54 351 429 7410,,,,843
BT Global Networks de Argentina S.R.L.,"Esmeralda
No. 1394 Piso 6 DPTO 8 C1007ABT BUENOS AIRES",+54 11 4327 0278,,,,843
C.P.S. COMUNICACIONES S.A.,"Avenida Pres Gral J.A. Roca
No. 620 Piso 8 DPTO C1067ABO BUENOS AIRES",,,,,843
C.T.I. CIA. de Teléfonos del Interior S.A.,"Avenida Figueroa Alcorta
No. 3259 Piso DPTO C1425CKL BUENOS AIRES",+54 11 4809 8888,,,,843
Cableway S.A.,"Avenida Córdoba
No. 1131 Piso 5 DPTO C1055AAB BUENOS AIRES",+54 11 4812 4810,,,,843
Call Solutions S.A.,Gral. Juan José Viamonte No. 577 Piso 8 DPTO 61 C1053ABK BUENOS AIRES,+54 11 4313 0057,,,,843
Callbi S.A.,"Carlos Pelligrini
No. 1089 Piso 2 DPTO C C1009ABU BUENOS AIRES",+54 11 4328 2540,,,,843
Citilan Argentina S.A.,"Avenida Leandro N. Alem No. 925 Piso 4 DPTO A
C1058AAM BUENOS AIRES",,,,,843
Colubris S.A.,"Sarmiento
No. 1562 Piso 1 DPTO 7 C1042ABD BUENOS AIRES",+54 11 4382 8730,,,,843
Compañía Argentina de Telecomunicaciones S.R.L.,"Avenida Córdoba
No. 1215 Piso 4 DPTO 8 C1055AAC BUENOS AIRES",,,,,843
Compañía de Teléfonos del Plata S.A.,"Ing. Enrique Butty
No. 240 Piso 20 DPTO C1001AFB BUENOS AIRES",,,,,843
Comsat Argentina S.A.,"Carlos Pelligrini
No. 1363 Piso 6 DPTO C1011AAA BUENOS AIRES",,,,,843
Comte Communications Technology S.A.,"Austria
No. 2351 Piso 6 DPTO C1425EGM BUENOS AIRES",+54 11 4807 0834,,,,843
Convergia Argentina S.A.,"Cerrito
No. 1110 Piso 7 DPTO A C1010AAX BUENOS AIRES",,,,,843
Cooperativa de Electricidad Ltda. de Pedro Luro,"Calle 101
No. 1076 Piso DPTO
B8148AHX Pedro Luro BUENOS AIRES",+54 2928 42 0059,,,,843
Cooperativa de Electricidad Servicios y Obras Públicas de San Bernardo Ltda.,"Avenida Mitre
No. 2660 Piso DPTO
B7111BPY San Bernardo (Pdo. de la Costa) BUENOS AIRES",,,,,843
"Cooperativa de Electricidad, Obras, Crédito, Vivienda y Servicios Públicos de las Flores Limitada","25 de Mayo No.513 Piso DPTO
B7200ABK Las Flores BUENOS AIRES",,,,,843
Cooperativa de Emprendimientos Múltiples Sudecor Litoral Limitada,"Córdoba
No. 399 PISO DPTO
X2550AAG Bell Ville CÓRDOBA",,,,,843
Cooperativa de Luz y Fuerza Eléctrica de Rojas Ltda.,"General José Marie Paz No. 178 Piso DPTO
B2705ABD Rojas BUENOS AIRES",+54 2475 46 5900,,,,843
"Cooperativa de Luz y Fuerza Eléctrica, Otros Servicios Públicos, Vivienda y Crédito de Punta Alta Limitada","Dr. Juan José Paso No. 550 Piso DPTO
B8109CGL Punta Alta BUENOS AIRES",,,,,843
Cooperativa de Provisión de Obras y Servicios Públicos y Sociales de Cruz Alta Ltda.,"Domingo F. Sarmiento No. 858 Piso DPTO
X2189CMR Cruz Alta CÓRDOBA",,,,,843
"Cooperativa de Provisión de Servicios Eléctricos, Otros Servicios Públicos, de Servicios Sociales, Crédito y Vivienda Limitada de San Cayetano","Juan Claudio Magnin No. 229 Piso DPTO
B7521BUE San Cayetano BUENOS AIRES",,,,,843
Cooperativa de Provision de Servicios Públicos de Tortuguitas Ltda.,"Moreno
No. 1160 Piso DPTO
B1667LDD Tortuguitas BUENOS AIRES",,,,,843
