Name,Address,Tel,Fax,Email,URL,OB
Colombia Telecomunicaciones S.A. E.S.P.,"Transversal 49, No. 105-84
BOGOTÁ, D.C.
",,+57 1 593 5284,alejandro.avila@telecom.net.co ,www.telecom.com.co,
Empresa Nacional de Telecomunicaciones,"Calle 23, No. 13-49
Piso 12
BOGOTÁ, D.C.
",+57 1 561 0737,+57 1 561 3174,alfonso.gomez@telecom.net.co,,
Empresa de Telecomunicaciones de Bogotá S.A. ESP,"Gerencia de Regulación y Negocios con Operadores
Carrera 8, No. 20 - 56, piso 6
BOGOTÁ, D.C. 
",+57 1 242 2205,+57 1 342 4825,german.ariasp@etb.com.co,www.etb.com.co,
Empresas Públicas de Medellín E.S.P.,"Carrera 58, No. 42-125
Piso 6
MEDELLÍN
",+57 1 600 8000,+57 1 601 9514,mgonzald@eeppm.com,,
EPM-Bogotá S.A. E.S.P.,"Carrera 14, No. 30-93
SANTA FE DE BOGOTÁ
",+57 1 600 8000,+57 1 601 9514,fpanesso@epmbog.com,,
Orbitel S.A. E.S.P.,"Carrera 431 sur 188
Piso 2
MEDELLIN (Antioquia)
",+57 4 325 1502,+57 4 314 020,aceballos@orbitel.com,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
