Name,Address,Tel,Fax,Email,URL,OB
Afripa Télécom,"2pltx Vallon
Rue des Jardins
P.O. Box 799
ABIDJAN 15",+225 2241 2540,,,www.afripatelecom.net,839
Comstar S.A.,"Plateau Immeuble Kharrat
P.O. Box 1281
ABIDJAN 01
",,+225 2030 8787,,,839
Côte d’Ivoire Télécom,"Plateau, Boulevard Lagunaire
Immeuble Djékanou
P.O. Box 275
ABIDJAN 17
", +225 2034 4805,+225 2021 2828,,www.citelecom.ci,839
Loteny Télécom,"Plateau, Avenue Crossons Duplessis
P.O. Box 3865
ABIDJAN 01",+225 2032 2082,,,www.telecel.ci,839
MTN Côte d’Ivoire (MTN CI),"B.P. 3865
ABIDJAN 01
", +225 2031 6312, +225 2032 2082 / +225 2031 6379,stephane.beuvelet@mtn.ci,,
Orange Côte d’Ivoire,"BGE, Immeuble Quartz
P.O. Box 202
ABIDJAN 11",, +225 2123 9011,,www.orange.ci,839
Prestige Télécom,"Plateau, Rue du Commerce
Immeuble Amiral
P.O. Box 8592
ABIDJAN 01",,+225 2032 3252,,www.prestige.ci,839
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
