Name,Address,Tel,Fax,Email,URL,OB
Aps Kbus 38 nr. 4418,"Sydvestvej, 15
2600 GLOSTRUP
",+45 4348 8247,+45 4348 8251,ib.hodgaard@motorola.com,,
CAN Denmark A/S,"Maxeland, 2
3660 GLOSTRUP
",+31 20 346 3917,+31 20 346 3940,noudeja@acneuro.com,,
CBB,"Dronningens Tvaergade, 46
1302 COPENHAGEN
",+45 3346 0130,+45 3346 0129,cen@cbb.dk,,
Cybercity A/S,"Esplanaden, 6-8
1263 COPENHAGEN
",+45 3398 3077,+45 3398 3070,redfern@cybercity.dk,,
FaciliCom International ,"Denmark
Copenhagen Europe Center
Vesterbrogade, 149
1620 COPENHAGEN
",+45 69 888 888,+45 69 888 889,,,
Hi3G,"Dampfaergevej, 28
0900 COPENHAGEN
",+45 3333 0135,+45 3333 0155,torben.bjerre@hi3gdenmark.dk,,
Lebara ApS c/o Nebeloong & Partners,"P.O. Box 1051
1007 COPENHAGEN
",+45 3311 7522,+45 3332 4775,jj@nebelong.dk,,
Migway A/S,"Norregade, 21
0900 COPENHAGEN
",+45 3343 7342,+45 3399 8067,thorkil.sonne@migway.com,,
Mira Internet APS,"Strandvejen, 17
7830 VINDERUP
",+45 7010 8040,+45 7010 8060, mr@mira.dk,,
Primus Telecommunications A/S,"Vesterbrogade, 149
1620 COPENHAGEN
",+45 3327 0511,+45 3327 0515,fmagner@primustel.dk,,
RSLCOM Danmark A/S,"Sydestvez, 102
2600 GLOSTRUP
",+45 4323 1071,+45 4323 1000,hni@rslcom.dk,,
TELENOR,"Fredrikskaj
1780 COPENHAGEN
",+45 7212 7205,+45 7212 7224,stp@dmt.sonofon.dk,,
Starman Telecom Denmark,"Falkoner Allé, 13
2000 FREDERIKSBERG
",+45 3834 4848,+45 3834 4850,,,
SuperTel,"Vesterbrogade, 149
1620 COPENHAGEN
",+45 3692 0050,+45 3692 0001,john.topp@supertel.dk,,
TDC A/S,"Fixnet Nordic
FNUTA
Sletvej 30, A-039
8310 TRANBJERG J.
",+45 66 652 119,+45 66 652 009,fbir@tdc.dk,www.tdc.dk,
TDC Kabel TV,"Strandlodsvej, 30
0900 COPENHAGEN S
",+45 3263 8180,+45 3263 8008,jmic@tdc.dk,,
TDC Solutions,"Norregade, 21
0900 COPENHAGEN C
",+45 4480 2661,+45 4480 2668,jebj@tdc.dk,,
Tele Danmark A/S,"Spotorno Allé, 12
2630 TAASTRUP
",+45 4334 3255,+45 4352 0941,jhat@tdk.dk,,
Tele1 Europe A/S,"Vesterbrogade, 149
1620 COPENHAGEN
",+45 3690 3650,+45 3690 3691,dha@tele1europe.dk,,
Tele2 A/S,"Gammel Koge Landevej, 55
2500 VALBY
",+45 7730 1001,+45 7730 1000,michael.jackson@tele2.dk,,
Telecomplus A/S,"Sdr. Rinjvej, 41-43
2605 BRONDBY
",+45 6912 1242,+45 6912 1213,bh@telecomplus.dk,,
Teleglobe Danmark A/S,"Lautruphoj, 1-3
2750 BALLERUP COPENHAGEN
",+1 703 755 2430,+1 703 755 2610,ctievsky@teleglobe.com,,
Telia Net,"Ejby Industrivej, 135
2600 GLOSTRUP
",+45 8831 5140,+45 8831 5120,lfh@telia.dk,,
Telia Sonera,"Sydvestvej, 15
2600 GLOSTRUP
",+45 8831 5868,+45 8831 5438,jesper.andersen@teliasonera.com,,
Telia Stofa A/S,"Uraniavej, 6
8700 HORSENS
",+45 8813 1414,+45 7564 2749,ks@stofa.dk,,
Tiscali A/S,"Lautrupsgade, 9
2100 COPENHAGEN
",+45 3814 7015,+45 3814 7009,mandersen@dk.tiscali.com,,
WebPartner,"Arhusgade, 88
2100 COPENHAGEN
",+45 3525 4770,+45 7026 2301,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
