Name,Address,Tel,Fax,Email,URL,OB
"Americatel El Salvador, S.S. de C.V.","S.S. de C.V.
Calle Nueva, No. 1
Colonia Escalón
SAN SALVADOR
",+503 2266 0104,+503 2266 0184,agarcia@americatel.com.sv,,
"Amnet Tel Y. C., S. En C. de C.V.","Parque Ind. El Boquerón Boulevard
Santa Elena
Antiguo Cuscatian
LA LIBERTAD
",+503 2236 8043,+503 2236 8124,fsoto@amnetsal.com,,
"CTE Telecom Personal, S.A. de C.V.","Final Calle el Progreso y Calle Liverpool
Colonia Roma
SAN SALVADOR
",+503 2271 7031,+503 2271 7066,garay.roberto@telecom.com.sv,,
"Digicel, S.A. de C.V.","Boulevard Los Héroes
SAN SALVADOR
",+503 2285 5111,+503 2285 5585,teresa.barrientos@digicel.com,,
"El Salvador Network, S.A. de C.V.","Paseo General Escalón No. 6000
SAN SALVADOR
",+503 2283 1000,+503 2283 1090,antonio.safie@salnet.net,,
"El Salvador Telecom, S.A. de C.V.","Calle Colima, No. 852
Colonia Miramonte
SAN SALVADOR
",+503 2247 7156,+503 2247 7233,cabanillas@saltel.com,,
"Empresa Metapaneca de Telecomunicaciones, S.A. de C.V.","2da Avenida Norte
Barrio San Pedro
METAPAN, SANTA ANA
",+503 2400 0000,+503 2400 0004,,,
Grupo Centroamericano de Telecomunicaciones S.A. de C.V.,"39, Avenida Sur 6a 10a
Col. Flor Blanca
SAN SALVADOR
",+503 2230 5500,+503 2230 5585,bjaime@gcatelecom.com.sv,,
"Intelfon, S.A. de C.V","Roosevelt y 63a Avenida Sur
SAN SALVADOR
",+503 2267 9600,+503 2245 5276,erodas@skytech.com.sv,,
"Newcom El Salvador, S.A. de C.V.","60, Avenida Sur y Alameda Roosevelt
Torre B
SAN SALVADOR
",+503 2252 8080,+503 2252 8082,jcoreas@newcomamericas.net,,
Superintendencia General de Electricidad y Telecomunicaciones (SIGET),"Sexta Décima Calle Poniente y
37 Avenida Sur, No. 2001
Col. Flor Blanca
SAN SALVADOR
",+503 2257 4484 / +503 2257 4401,+503 2257 4498 / +503 2257 4493,"otilio.rodriguez@siget.gob.sv / siget@siget.gob.sv
",www.siget.gob.sv,
"Telecomunicaciones de America, S.A. de C.V.","Col. Avila, Pasaje 1
Case 33
SAN SALVADOR
",+503 2245 1818,+503 2207 0237,roberto.liach@telecam.net,,
"Telefónica Móviles El Salvador, S.A. de C.V.","Alameda Roosevelt y 63a Avenida Sur
SAN SALVADOR
",+503 2257 4360,+503 2211 0739,mario.torres@telefonica.com.sv,,
