Name,Address,Tel,Fax,Email,URL,OB
"ACCA Networks Co., Ltd","Shin-Yurakucho Building 1-12-1 Yurakucho Chiyoda-ku
100-0006 TOKYO",+81 3 5208 5247,+81 3 5220 4018,mynakamura@accanetworks.com,,
Broadcasting Satellite System Corporation (B-SAT),"1-16-4 Tomigaya
Shibuya-ku
151-0063 TOKYO",+81 3 54535709,+81 3 54536520,imai@b-sat.co.jp,,
eAccess Ltd.,"Shin-Nikko Bldg.
2-10-1 Toranomon, Minato-ku
105-0001 TOKYO",+81 3 35887635,+81 3 35887345,oyamamasumi@eaccess.net,www.eaccess.net,
eMobile Ltd,"Infrastructure Management Department
Shin-Nikko Bldg
10-1 Toranomon, 2-chome Minato-ku
105-0001 TOKYO",+81 80 70838608,+81 3 35887219,kitayutaka@emobile.jp,,
JSAT Corporation,"1-14-14 Akasaka
Minato-ku
107-0052 TOKYO",+81 3 5571 7777,+81 3 5571 1700,y-yokoyama@jsat.net,,
KDDI Corporation,"Garden Air Tower
10-10, Iidabashi 3-chome, Chiyoda-ku
102-8460 TOKYO",+81 3 66780691,+81 3 66780324,,www.kddi.com,
Nippon Hoso Kyokai (NHK) (Japan Broadcasting Corporation),"2-2-1, Jinnan Shibuya-ku
150-8001 TOKYO",+81 3 5494 3111,+81 3 5494 3125,saito.t-gc@nhk.or.jp,www.nhk.or.jp,
Nippon Minkan Hoso Renmei (National Association of Commercial Broadcasters in Japan),"3-23 Kioicho, Chiyoda-ku
102-8577 TOKYO",+81 3 52137705,+81 3 52137709,h-takata@nab.or.jp,www.nab.or.jp,
Nippon Telegraph and Telephone East Corporation (NTT East),"Strategic Planning Section, International Office 19-2, Nishi-Shinjuku 3-chome, Shinjuku
163-8019 TOKYO",+81 3 53598691,+81 3 53591197,kikaku_all@ml.east.ntt.co.jp,www.ntt-east.co.jp/index_e.html,
Nippon Telegraph and Telephone West Corporation (NTT West),"Global Business Office, Technology Innovation Dept.
3-15 Bambacho, Chuo-ku",+81 6 47933781,+81 6 47934856,international@ml.hq.west.ntt.co.jp,www.ntt-west.co.jp,
Nomura Research Institute Ltd.,"Marunouchi Kitaguchi Building,
1-6-5, Marunouchi,
Chiyoda-ku
100-0005 TOKYO",+81 3 5533 3011,+81 3 5533 3902,a-yamada@nri.co.jp,www.nri.co.jp,
NTT Communications Corporation,"3-4-1, Shibaura, Minato-ku
108-8118 TOKYO",+81 3 67339778, +81 3 54390486,sadata-tech@ntt.com,www.ntt.com,
NTT DATA Corporation,"R&D Headquarters
Toyosu Center Building Annex, 3-9
Toyosu 3-Chome
Koto-ku
135-8671 TOKYO",+81 50 5547 2730,+81 3 3532 0487,ueshimay@nttdata.co.jp,,
"NTT DOCOMO, Inc.","Sanno Park Tower
11-1, Nagata-cho 2-chome,Chiyoda-ku
100-6150 TOKYO",+81 3 51561649,+81 3 51560225,furukawa@nttdocomo.co.jp,www.nttdocomo.co.jp,
SOFTBANK BB Corp. Regulatory and External Affairs Division,"1-9-1, Higashishinbashi, Minato-ku
105-7309 TOKYO
Japan",+81 3 6889 6434,+81 3 6889 6671,sbmgrp-regulatory.jp.1@g.softbank.co.jp,www.softbankmobile.co.jp,
SOFTBANK MOBILE Corp. Regulatory & External Affairs Division,"Tokyo Shiodome Building
1-9-1, Higashishinbashi, Minato-ku
105-7317 TOKYO
Japan",+81 3 6889 6434,+81 3 6889 6671,sbmgrp-regulatory.jp.1@g.softbank.co.jp,www.softbankmobile.co.jp/en/index.html,
"SOFTBANK TELECOM Corp.
Regulatory and External Affairs Division 1-9-1","Higashishinbashi, Minato-ku,
105-7309 TOKYO
Japan",+81 3 6889 6434,+81 3 6889 6671,sbmgrp- regulatory.jp.1@g.softbank.co.jp,www.softbankmobile.co.jp,
Space Communications Corporation 2-8,"Higashi-shinagawa 2-Chome Shinagawa-ku
140-0002 TOKYO",+81 3 5462 1370,+81 3 5462 1392,miura.masaharu@superbird.co.jp,,
"The Tokyo Electric Power Company, Incorporated (TEPCO)
Electronic Telecommunication Department",Electronic Telecommunication Department 1-3 Uchisaiwai-cho 1-Chome Chiyoda-ku 100-8560 TOKYO,+81 3 63735609,+81 3 35968525,shiokawa.hisayuki@tepco.co.jp,www.tepco.co.jp,
"WILLCOM, Inc.","3-4-7 Toranomon
Minato-ku
105-8477 TOKYO",+81 3 5400 6594,+81 3 5400 6577, y-yano@willcom-inc.com,,
,,,,,,
,,,,,,
,,,,,,
