Name,Address,Tel,Fax,Email,URL,OB
"Telia Lietuva, AB","Vilnius, Lvovo g. 25",+370 5264 1817,,info@telia.lt,,
AB Lietuvos radijo ir televizijos centras,"Vilnius, Sausio 13-osios g. 10",+370 5204 03 00,+370 5204 03 25,info@telecentras.lt,,
"UAB ""CSC TELECOM""","Vilnius, Perkūnkiemio g. 7",+370 52101790,,info@csc.lt,,
"UAB ""Digitela""","Vilnius, Vytenio g. 6",+370 52104156,+370 52104155,info@digitela.lt,,
"UAB ""Bitė Lietuva""","Vilnius, Žemaitės g. 15",+370 656 00656,+370 699 00111,bendraukime@bite.lt,,
"UAB ""Nacionalinis telekomunikacijų tinklas""","Vilnius, Naugarduko g. 102",+370 5 205 6000,+370 700 00034,info@ntt.lt,,
"Mediafon Carrier Services, UAB","Vilnius, m. Olimpiečių g. 1-33",+370 5 239 0901,,info@mediafoncs.lt,,
"UAB ""Penkių kontinentų komunikacijų centras""","Vilnius, Kareivių g. 2",+370 5 266 4555,,info@penki.lt,,
"UAB ""TELE2""","Vilnius, Upės g. 23",+370 684 00 117,+370 5 236 6455,tele2.lt@tele2.com,,
"UAB ""Teledema""",Kauno m. Vytauto pr. 32,+370 657 82117,,info@teledema.lt,,
"UAB ""ECOFON""","Vilnius, Lvovo g. 89A-2",+370 5 255 5050,+370 5 255 5001,office@ekofon.lt,,
"UAB ""Teletel""","Klaipėda, Debreceno g. 11-52",+370 68784263,,info@teletel.lt,,
"UAB ""EUROCOM""","Vilnius, Žemaitės g. 15",+370 659 11 700,+370 5 274 4612,eurocom@eurocom.lt,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
