Name,Address,Tel,Fax,Email,URL,OB
B.A.S.I.C,"Lot VL 36 FGJ
Androndra-Ampamantanana
101 ANTANANARIVO
",+261 2022 63229,,y.raveloarimalala@basic- international.com,,868
Celtel Madagascar,"Explorer Business Park Ankorondrano
B.P. 7620
101 ANTANANARIVO
",+261 2022 66055,+261 2022 66056,macauley.e@mg.celtel.com,,868
"Centre de Traitement Monétique de Madagascar
(C.T.M.M.)
","Immeuble Teillet – Labrousse
22, Rue Andrianary Ratianarivo
Ampasamadinika
101 ANTANANARIVO
",+261 2022 25000,+261 2022 32518,ctmm@ctmm.mg,,868
"Data Telecom Service (DTS)
(Transmission de données)
","13, Avenue de l’Indépendance Analakely
Immeuble Charles Elly
B.P. 4095
101 ANTANANARIVO
","+261 2022 20359 / +261 2022 26427 / +261 2022 26428
",+261 2022 20360,dts@wanadoo.mg / pph@wanadoo.mg,,868
Eva Calling,"Immeuble Avenue Business
Tsaralalàna
101 ANTANANARIVO
",+261 2022 36381 / +261 3312 66000,+261 2022 36381,,,868
Fort Dauphin Network (FORT-NET),"Enceinte « Le Martin Pécheur »
Ampamakiambato
TOLAGNARO
",+261 2092 21364,+261 2092 21473,admin@fornet.com,,868
Gasy Online,"12, Rue Rainitovo
Antsahavola
101 ANTANANARIVO
",+261 2022 30140,+261 2022 30140,surfaccess@wanadoo.mg,,868
Global Plus,"Centre Commercial Tana Water Front
Ambodivona
101 ANTANANARIVO
",+261 2022 66339,+261 2022 69139,globalplus@dts.mg,,868
"Network Route Digue Andranoabo
","Immeuble Newpack
B.P. 1484
101 ANTANANARIVO
","+261 2022 21650 / +261 2022 62075 /  +261 2022 62076 / +261 2022 62077
",+261 2022 24985,blueline@malagasy.com,,868
Life.Com,"Lot IBM 57
Rue Benuisky
Isoraka 
B.P. 752
101 ANTANANARIVO
",+261 3207 00200 / +261 2022 44114,,bvbl@iris.mg,,868
Orange Madagascar,"Bâtiment Galaxy Plaza (2ème et 3ème niveaux)
Parc d’activités Galaxy
Rue Docteur Raseta Joseph
Andraharo
B.P. 7754
101 ANTANANARIVO
",+261 3207 30404 / +261 2022 60953,+261 2022 60955,"contact@orange.mg /  patrice.pezat@orange.mg
",,868
Orchid Systems Sarl,"Local Soazara
B.P. 12162
Antanambao Ambohipo
101 ANTANANARIVO
",+261 3311 04441,+261 2022 22705,siege@orchid.mg,,868
Simicro Internet,"16, Rue Ratsimilaho Antaninarenina
B.P. 3557
101 ANTANANARIVO
",+261 2022 64883,+261 2022 32518,simicro@simicro.mg,,868
Société Gulfsat Madagascar,"Lot IVR 41, Avenue Lénine
Antanimena
101 ANTANANARIVO
",+261 2022 37013,+261 2022 37009,ddl@gulfsat.mg,,868
Société Gulfsat Téléphonie,"Lot IVR 41, Avenue Lénine
Antanimena
101 ANTANANARIVO
",+261 2022 37013,+261 2022 37009,gulfsat@malagasy.com,,868
Telecom Malagasy S.A,"Alarobia
B.P. 763
101 ANTANANARIVO
",+261 2022 42705,+261 2022 53871,eugene.beckers@telma.mg,,868
Vocalys,"Village de Jeux
Espace de Verre (3ème étage)
Ankorondrano
B.P. 7663
101 ANTANANARIVO
",+261 2022 59874,+261 2022 59875,vocalys@wanadoo.mg,,868
