Name,Address,Tel,Fax,Email,URL,OB
"Aliatel, s.r.o.",,,,,,788
"BT Slovakia, s.r.o.",,,,,,788
"Dial Telecom, a.s.",,,,,,788
"eTel Slovensko, s.r.o.",,,,,,788
"Eurotel Bratislava, a.s.",,,,,,788
"GlobalTel Slovakia, s.r.o.",,,,,,788
"GTS Slovakia, s.r.o.",,,,,,788
"MBC, s.r.o.",,,,,,788
"Nextra, s.r.o.",,,,,,788
"Orange Slovensko, a.s.",,,,,,788
"Postel, a.s.",,,,,,788
"Slovenske telekomunikacie, a.s.",,,,,,788
"ViaPVT, a.s.",,,,,,788
"Voipac, s.r.o.",,,,,,788
Zeleznice Slovenskej republiky,,,,,,788
