Name,Address,Tel,Fax,Email,URL,OB
In.Life d.d.  ,"Dunajska Cesta 22  
SI-1511 LJUBLJANA  ",+386 1 434 7066,+386 1 474 4619,dejan.strbenk@inlife.si,,
"Mobitel, telekomunikacijske storitive d.d","Vilharjeva 23
1537 LJUBLJANA",+386 1 47 22 312,+386 1 47 22 810,ic@mobitel.si,,
SI.Mobil d.d,"Smartinska Cesta 134/B
SI-1000  LJUBLJANA  ",+386 40 440 134,+386 40 443 199,andrej.spik@simobil.si,,
"Telekom Slovenije, p.o.","Cigaletova 15  
SI-61000 LJUBLJANA ",+386 1 234 1216,+386 1 234 1200,roman.smidovnik@telekom.si,,
Tusmobil d.o.o ,"Resljeva 16
SI - 3000 CELJE",+386 3 560 7900,+386 3 560 7903,ic@tusmobil.si,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
