Name,Address,Tel,Fax,Email,URL,OB
Telkom SA Ltd.,"21st Floor
152 Proes Street
PRETORIA 0001",+27 12 3113576,+27 12.3216463,plaatp@telkom.co.za,www.telkom.co.za,
Mobile Telephone Networks (Pty) Ltd. (MTN),"Private Bag 9955
SANDTON 2146",+27 11 3016000,+27 11 3016111,mashis_m@mtn.co.za,www.mtn.co.za,
Vodacom SA (Pty) Limited,"Regulatory Affairs
Private Bag X9904
SANDTON 2146",+27 11 8488022 / +27 11 6535624,+27 11 8488827,ceo@vodacom.co.za,www.vodacom.co.za,
Orbicom (Pty) Ltd.,"Multichoice Africa Building
75 Republic Rd Randburg
P.O. Box 4751
RANDBURG, Gauteng 2125",+27 11 2894236,+27 11 7891709,cmawela@multichoice.co.za,www.orbicom.com,
Sentech Ltd.,"Private Bag X06
HONEYDEW 2040",+27 11 691 7220,+27 11 691 7120,tokot@sentech.co.za / mokitimin@sentech.co.za,www.sentech.co.za,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
