Name,Address,Tel,Fax,Email,URL,OB
Daughter Enterprise of Ukrtelecom “UTEL”,"101 Volodymyrska Street
KYIV 01033",+380 44 230 4103,,,www.utel.com.ua/english,842
JSC “Digital Cellular Communications of Ukraine” (DCC),"1 Pintera Street
DONETSK 83120",,+380 062 333 0501,,www.dcc.ua,842
JSC “Kyivstar GSM”,"51 Chervonozorianyi Boulevard
KYIV 03110",,+380 44 270 3877,,www.kyivstar.net/site.php/en,842
JSC “Ucomline”,83A Melnykova Street KYIV 01023,,+380 44 230 8431,,,842
JSC “Ukrainian Communications”,"33 Politekhnichna Street
KYIV 03056",,+380 44 241 6799, office@ukr-com.net ,www.ukr-com.net,842
JSC “Ukrainian Mobile Communications” (UMC),"15 Leipzigska Street
KYIV 01015",,+380 44 227 7453 / +380 50 110 3896,,www.umc.ua/eng/splash.php,842
JSC “Ukrtelecom”,"18 Shevchenka Boulevard
KYIV 01030",,+380 44 234 3957 / +380 44 246 4421,,www.ukrtelecom.ua,842
“Golden Telecom” Ltd,19A Khreschatyk Street KYIV 01001,,+380 44 490 0070,,www.goldentele.com,842
“International Telecommunications” Ltd,66 Mala Arnautska Street ODESA 65023,,+380 482 743 1106,,,842
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
