Name,Address,Tel,Fax,Email,URL,OB
Compañia Anónima Nacional Teléfonos de Venezuela (CANTV),"Avenida Libertador
Centro Nacional de Telecomunicaciones
CARACAS, Distrito Capital",+58 212 500 2892 / +58 212 500 4318,+58 212 500 3404,,www.cantv.com.ve,894
Convergia Venezuela S.A.,"Avenida Francisco de Miranda
Torre Delta PH-B Urb.
Altamira
CARACAS, Distrito Capital",+58 212 263 9933,+58 212 740 2136,,www.convergia.com,894
"Corporación Digitel, C.A.","Avenida La Estancia, Centro Banaven
Cubo Negro, Torre C
Chuao
CARACAS, Distrito Capital",+58 212 950 5500,+58 212 959 6910,,www.digitel.com.ve,894
"Corporación Telemic, C.A. (Intercable)","Avenida Los Leones con Avenida Caroni
Centro Empresarial Caracas, Piso 7
BARQUISIMETO, Estado Lara",0 500 468 3722,+58 251 256 5250,,www.inter.com.ve,894
CVG Telecom C.A.,"Avenida La Estancia
Torre Las Mercedes, Piso 9
Chuao
CARACAS, Distrito Capital",+58 212 950 1321,+58 212 950 1323,,www.cvgtelecom.com.ve,894
"Entel Venezuela, C.A.","Calle 9, entre 4ta y 5ta Transversal
Zona Industrial
Edificio Entel, Piso 7
La Urbina
CARACAS, Distrito Capital",+58 212 225 0143,+58 212 225 0111,,www.123.com.ve,894
"LD Telecom Comunicaciones, C.A.","Avenida Francisco de Miranda
Edificio Parque Cristal
Torre Este, Piso 1, Oficina 1-8
Los Palos Grandes
CARACAS, Distrito Capital",+58 212 278 2020 / +58 212 278 2007,+58 212 286 9918,,www.solollama.com,894
"Multiphone de Venezuela, C.A.","Torre la California, Piso 4, Oficina 4-A
Colinas de la California
CARACAS, Distrito Capital",+58 212 210 5400,+58 212 210 5438,,www.multiphone.net.ve,894
"Soluciones Latincom, C.A.","Avenida San Juan Bosco
Edificio San Juan, Piso 7, Oficina C
Altamira
CARACAS, Distrito Capital",+58 212 267 1612,+58 212 265 2858,,,894
"TELCEL, C.A.","Avenida Francisco de Miranda
Edificio Parque Cristal, Piso 14
Urb. Los Palos Grandes
CARACAS, Distrito Capital",+58 212 705 6575 / +58 212 705 6802,+58 212 200 8279,,www.movistar.com.ve,894
"Telecomunicaciones Corporativas Telecorp, C.A.","Avenida Tamanaco
Torre Unión, Piso 2, Oficina 2-B
El Rosal
CARACAS, Distrito Capital",+58 212 953 2424 / +58 212 953 6362,+58 212 953 3808,,www.telecorp.net.ve,894
"Telecomunicaciones Movilnet, C.A.","Centro Comercial El Recreo, Torre Sur, PH.
Avenida Venezuela
Bello Monte
CARACAS, Distrito Capital",+58 212 500 5176,+58 212 500 3214,,www.movilnet.com.ve,894
"Telecomunicaciones NGTV, S.A.","Avenida Venezuela
Torre Mariana, Piso 4
El Rosal
CARACAS, Distrito Capital",+58 212 954 1308,+58 212 952 2323,,www.ngt.com.ve,894
"Veninfotel Comunicaciones (VITCOM), C.A.","Calle 7
Edificio Insenica II, Piso 2
La Urbina
CARACAS, Distrito Capital",+58 212 710 0152,+58 212 710 0254,,www.net-uno.net,894
"VOX2VOX Venezuela, S.A. / Corporación Intercall, C.A.","Avenida Abraham Lincoln
Torre La Previsora, Piso 14
CARACAS, Distrito Capital",+58 212 709 1903,+58 212 709 1948,,www.intercall.com.ve,894
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
