Name,Address,Tel,Fax,Email,URL,OB
Asia Satellite Telecommunications Co. Ltd (AsiaSat),"AsiaSat Tai Po Earth Station
15 Dai Kwai Street
Tai Po Industrial Estate, NT
HONG KONG
",+852 2600 9140 / + 852 2600 9180,+852 2600 9189,phovstad@asiasat.com,www.asiasat.com,
China Mobile Communications Corporation (China Mobile),"29 Jinrong Avenue
Xicheng District
100032 BEIJING
",+86 10 6600 6688 (ext. 126),+86 10 6600 6175,shaojunming@chinamobile.co,www.chinamobile.com,
China Netcom (Group) Company Ltd,"Building C
156 Fuxingmennei Street
100031 BEIJING
",+86 10 6642 9213,+86 10 6613 5601,wanglh@china-netcom.com,,
China Satellite Communications Corporation (China Satcom),,,,,,
China Telecommunications Corporation,"No.19, Chaoyangmen Beidajie
Dongcheng District
100010 BEIJING
",+86 10 58501227,+86 10 59502695,huangxp@chinatelecom.com.cn,www.chinatelecom.com.cn,
China Tietong Telecommunications Corporation (China Tietong),,,,,,
China United Telecommunications Corporation (China Unicom),"Department of Technology
Room 0869
133A Xidan North Street
Xicheng District
100032 BEIJING
",+86 10 6650 4268,+86 10 6650 4252, jiach@chinaunicom.com.cn,www.chinaunicom.com.cn,
Hutchison Global Communications Ltd,"9/F, Hutchison Telecom Tower
99 Cheung Fai Road
TSING YI
Hong Kong
",852 2128 3382,+852 21 7090,michaelsck@hgc.com.hk,,
Reach Networks Hong-Kong Ltd,"20/F, Telecom House
3 Gloucester Road
WANCHAI
Hong Kong
",+852 2883 0610,+852 2962 5291,agnes.yw.lee@reach.com,www.reach.com,
Wharf T&T Limited,"Telecom Tower (11th Floor)
Wharf T&T Square
123 Hoi Bun Road
KWUN TON, KOWLOON
Hong Kong
",+852 2112 2669,+852 2112 2680,tanagnes@wharftt.com,www.wharftt.com,
China Telecommunications Corporation,"No.19, Chaoyangmen Beidajie
100010 BEIJING, Dongcheng District
China
",+86 10 58501227,+86 10 59502695,huangxp@chinatelecom.com.cn,www.chinatelecom.com.cn,
,,,,,,
,,,,,,
,,,,,,
