Name,Address,Tel,Fax,Email,URL,OB
"Alestra, S. de R.L.de C.V. ","Paseo de las Palmas, 405 Torre Optima 1
Piso 21
Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.
",+52 55 5201 5009 / +52 55 5201 5019,,,,848
"Astrum Comunicaciones, S.A. de C.V. ","Av. Constitución 405 Poniente
C.P. 64000
MONTERREY, NUEVO LEÓN
ATSI Comunicaciones, S.A. de C.V.
Holbein, No. 159
Colonia Noche Buena
Delegación Benito Juárez
C.P. 03720
MÉXICO, D.F.
",+52 81 8369 7000 (ext. 6282),+52 81 8380 6228,info@astrum.com.mx,,848
"ATSI Comunicaciones, S.A. de C.V.","Holbein, No. 159
Colonia Noche Buena
Delegación Benito Juárez
C.P. 03720
MÉXICO, D.F.
","+52 55 5615 4117 / +52 55 5615 4069 / +52 55 5615 4792 / +52 55 5563 1278
",,,,848
"Avantel Servicios Locales, S.A.","Carretera Libre México-Toluca 5714
Col. Lomas de Memetla
C.P. 05330
MÉXICO, D.F.
","+52 55 5092 4234 / +52 55 5092 4210 / +52 55 5092 4220
",,,,848
"Axtel, S.A. de C.V. ","Idaho, No. 14
Col. Nápoles
C.P. 03810 MÉXICO, D.F.",+52 81 8114 0000,,,,848
"Baja Celular Mexicana, S.A. de C.V. ","Prolongación Paseo de la Reforma, No. 1200
Piso 18
Col. Santa Fe Cruz Manca Delagación Cuajimalpa
C.P. 05348 MÉXICO, D.F.
",+52 55 1616 5000,,,,848
"Bestcable, S.A. de C.V. ","Héroes del 47, No. 103 Col. Parque San Andrés
C.P. 04120 MÉXICO, D.F.
",+52 55 5688 8318,,,,848
"Bestel, S.A. de C.V.","Ave. La Paz, 2295
Col. Obrera Centro
C.P. 44140 GUADALAJARA JAL.
Ejercito Nacional, No. 579 Piso 9 y P.B.
Col. Granada
C.P. 11520 MÉXICO, D.F.
",+52 55 5255 0094 / +52 55 5354 1421,,,,848
"Bestphone, S.A. de C.V.","Av. Ejercito Nacional, No. 579 Piso 9
Col. Granada
C.P. 11520 MÉXICO, D.F.
",+52 55 5255 0094,,,,848
"Cart Mart Comunicaciones, S.A. de C.V. ","Alejandro Dumas, No. 304
Col. Palmas Polanco Delegación Miguel Hidalgo
C.P. 11550 MÉXICO, D.F.
",+52 55 5281 1060,,,,848
"Celular de Telefonía, S.A. de C.V. ","Prolongación Paseo de la Reforma, No. 1200
Piso 18
Col. Santa Fe Cruz Manca Delegación Cuajimalpa
C.P. 05348 MÉXICO, D.F.
",+52 55 1616 5000,,,,848
"Comunicaciones Celulares de Occidente,
S.A. de C.V.
","Montes Urales, No. 460 Col. Lomas de Chapultepec Delegación Miguel Hidalgo
C.P. 11000 MÉXICO, D.F.
",+52 55 5109 4400,,,,848
