Name,Address,Tel,Fax,Email,URL,OB
Burraq Telecom Ltd,"316, Main Margalla Road, F-10/3 ISLAMABAD",+92 51 111 784 784,+92 51 111 784 785,,,837
Callmate Telips Telecom (Pvt) Ltd,"99-CF, 1/5, Clifton
KARACHI",+92 21 583 0701 / +92 21 583 3712,+92 21 583 3006 / +92 21 587 3894,,,837
Circle Net Communications (Pakistan) Pvt. Ltd,"263-B, St. No. 42, F-11/3 ISLAMABAD",+92 51 210 5314-5,+92 51 221 1058,,,837
DANCOM Pakistan (Pvt) Ltd,"2nd Floor, Block 4-A
Wisma Dancom, F-8 Markaz ISLAMABAD",+92 51 226 0509,+92 51 226 1720,,,837
DV Com Ltd,"H. No.16, St. No. 67, G-6/4 ISLAMABAD",+92 51 282 1683,+92 51 282 1487,,,837
Link Direct International (Pvt) Ltd,"42, Kulsum Plaza
Jinnah Avenue, Blue Area ISLAMABAD",+92 51 227 3984-9,+92 51 227 3983,,,837
National Telecom Corporation (NTC) ,"Headquarters, Sector F-5/1 ISLAMABAD",+92 51 922 2808,+92 51 922 2809,,,837
Pakcom Limited,"75 East Blue Area, Fazal-ul-Haq Road
P.O. Box 1681 ISLAMABAD",+92 51 227 7400,+92 51 227 3554,,,837
Pakistan Mobile Company Limited,"Kulsum Plaza, Blue Area ISLAMABAD",+92 51 227 3990,+92 51 227 3981,,,837
Pakistan Telecom Company Limited (PTCL),"Headquarters, Sector G-8/4 ISLAMABAD",+92 51 225 1161,+92 51 225 1162,,,837
Pakistan Telecom Mobile Limited,"13-B, F-7 Markaz
Jinnah Super ISLAMABAD",+92 51 111 333 200,+92 51 265 0505,,,837
Burraq Telecom Ltd,"316, Main Margalla Road, F-10/3 ISLAMABAD",+92 51 227 1116,+92 51 282 6992,,,837
Callmate Telips Telecom (Pvt) Ltd,"99-CF, 1/5, Clifton
KARACHI",+92 51 210 0876,+92 51 287 0340,,,837
Circle Net Communications (Pakistan) Pvt. Ltd,"263-B, St. No. 42, F-11/3 ISLAMABAD",+92 51 927 1545,,,,837
DANCOM Pakistan (Pvt) Ltd ,"2nd Floor, Block 4-A
Wisma Dancom, F-8 Markaz ISLAMABAD",+92 21 111 222 123,+92 21 586 7850,,,837
Telenor (Pakistan) Pvt. Ltd,"Saudi Pak Tower, Ground Floor 61-A, Jinnah Avenue ISLAMABAD",+92 51 280 0397 / +92 51 280 0398, +92 51 280 0399,,,837
Link Direct International (Pvt) Ltd,"42, Kulsum Plaza
Jinnah Avenue, Blue Area ISLAMABAD",+92 51 265 3050,+92 51 265 1923,,,837
National Telecom Corporation (NTC),"Headquarters, Sector F-5/1 ISLAMABAD",+92 51 282 7327 / +92 51 282 5054, +92 51 282 4487,,,837
Pakcom Limited,"75 East Blue Area, Fazal-ul-Haq Road
P.O. Box 1681 ISLAMABAD",+92 51 227 4703,+92 51 227 9897,,,837
Wise Communication Systems (Pvt) Ltd,"Office #3
23, Sajid Sharif Plaza, G-11 Markaz ISLAMABAD",+92 51 210 6103,+92 51 210 4822,,,837
WorldCall Telecom Ltd,"103-C-II, Gulberg – III LAHORE",+92 42 575 7591-4, +92 42 575 7590 / +92 42 587 7920,,,837
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
