Name,Address,Tel,Fax,Email,URL,OB
"Advanced Communication Networks, S.A.",,,,,,828
"BellSouth Panamá, S.A.",,,,,,828
Broadband Wireless Communication Corp.,,,,,,828
"Cable & Wireless Panamá, S.A.","Torre C Internacional, Mezzanine
Via España
659 PANAMÁ 9A",+507 223 0266,+507 264 5743,cwp@cwpanama.com,www.cwpanama.net,828
"Cable Onda, S.A.",,,,,,828
Communications & Network Corp. (COMMNET),,,,,,828
Galaxy Communications Corp.,,,,,,828
"IFX Networks, S.A.",,,,,,828
"Optynex Telecom, S.A.",,,,,,828
Panamá Teledata Corporation,,,,,,828
"TeleCarrier, Inc.",,,,,,828
"VoIP Comunicaciones de Panamá, S.A.",,,,,,828
