Name,Address,Tel,Fax,Email,URL,OB
AtlasAlbilad Advanced Technology for Communications,,+966 1 470 8181,+966 1 470 3923,,www.atlasalbilad.com,
Baud Telecom Company (BTC),,+966 1 465 0604,+966 1 465 0604,,www.btc-networks.com,
Bayanat Al-Oula for Network Services (Bayant Consortium),"P.O. Box 301347
11372 RIYADH",+966 1 419 1818,+966 1 419 1188,,www.bayanat.com.sa,
British Telecom Al-Saudia,,+966 1 477 7633,+966 1 476 2808,,,
Channels Center for Electronic Devices,,+966 2 667 7888,+966 2 667 7888/33,,www.iccsat.com,
Detecon Al Saudia Co. Ltd (DETASAD),"P.O. Box 22135
11495 RIYADH",+966 1 249 9444,+966 1 249 7887,,www.detasad.com.sa,
Electronia Company,"P.O. Box 180
31952 AL KHUBAR",+966 1 465 6447,+966 3 894 9991,,www.electronia.com,
"Farhan Commercial Company Ltd 
(Thuraya Services)",,+966 1 219 2000,+966 1 219 5000,,www.farhan-hicap.com,
High Capabilities Technologies Company Ltd,"P.O. Box 60663
11555 RIYADH",+966 1 466 4666,+966 1 466 0066,,www.hicap-telecom.com,
Integrated Telecommunications Company (ITC) Ltd,"P.O. Box 8732
11492 RIYADH",+966 1 406 2330,+966 1 406 2318,m.ghorab@itc.sa,www.itc.net.sa,
International Electronic Telecommunications Company (Inteltec Saudi Arabia),,+966 1 208 7575,+966 1 208 7676,,www.saudi-inteltec.com,
Iridium Satellite LLC,,+966 1 301 571 6227,+966 1 301 571 6250,,www.iridium.com,
Ithad Itsalat Company (Mobily),"P.O. Box 9979
11423 RIYADH",+966 1 273 5050,+966 1 273 5800,,www.mobily.com.sa,
Nasser S Al Harbi Trading Establishment (Al Harbi Telecom),,+966 1 450 2299,+966 1 450 2299,,www.alharbitelecom.com,
Saudi Net Link Company Ltd,,+966 1 217 8583,+966 1 217 8583/110,,www.saudinetlink.com,
Saudi Telecom Company (STC),"P.O. Box 87912
11652 RIYADH",+966 1 452 7600,+966 1 452 7572,,www.stc.com.sa,
Showtime,,+966 3 895 8422,+966 3 895 8499,,www.showtimearabia.com,
Thuraya Satellite Telecommunications Company,,+971 2 616 1220,+971 2 641 8440,,www.thuraya.com,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
