Name,Address,Tel,Fax,Email,URL,OB
EVN Telecom,"30A, Pham Hong Thai Street
Ba Dinh
HANOI 10000",+84 4 3210 0526,+84 4 3715 1109,ph@cnet.vn,www.cnet.vn,
FPT Telecom,"48, Van Bao, Kim Ma
Ba Dinh
HANOI 10000",+84 4 3760 1060,+84 4 3822 3111,web-info@fpt.vn,www.fpt.net,
Hanoi Telecom,"2, Chua Boc Street
HANOI 10000",+84 4 3572 9833,+84 4 3572 9834,hanoitelecom@hinet.net.vn,www.hinet.net.vn,
Saigon Posts and Telecommunications (SPT),"45, Le Duan Street
Phuong Ben Nghe
District 1
HO CHI MINH",+84 8 3822 0119,+84 8 3822 0120,saigonpostel@saigonnet.vn,www.saigonpostel.com.vn,
Vietnam Maritime Communications and Electronics Company (VISHIPEL),"2, Nguyen Thuong Hien Street
HAI PHONG",+84 3 3184 2073 / +84 3 3184 2075,+84 3 3184 2979,vishipel@hn.vnn.vn,www.vishipel.com.vn,
Vietnam Mobile Service Company (VMS),"811A, Giai Phong Road
Hai Ba Trung District
HANOI 10000",+84 4 3864 9533,+84 4 3864 9534,,www.mobifone.com.vn,
Vietnam Multimedia Corporation (VTC),"Tang 2, Toa nha 46, Ngo 230
Lac Trung
Hai Ba Trung District
HANOI 10000",+84 1 3900 1530,+84 4 3636 7728,vtcvod@vtc.vn,www.vtc.com.vn,
Vietnam Posts and Telecommunications Group (VNPT),"1, Dao Duy Anh Street
HANOI 10000",+84 4 3511 3859,+84 4 3518 2808,vnpt_website@vnpt.com.vn,www.vnpt.com.vn,
Vietnam Telecom International (VTI),"97, Nguyen Chi Thanh Street
HANOI 10000",+84 4 3773 4077 / +84 4 3841 0013,+84 4 3773 3859 / +84 4 3835 7393,Phamdominhhuong@vti.com.vn,www.vnpt.com.vn,
Vietnam Telecom Service Company (GPC),"Vinaphone
Road 1A, Nam Thanh Cong
Dong Da District
HANOI 10000",+84 4 3835 8814,+84 4 3835 7502,,www.vinaphone.com.vn,
Viettel Corporation (Viettel),"1, Giang Van Minh Street
Ba Dinh
HANOI 10000",+84 4 3255 6789,+84 4 3299 6789,gopy@viettel.com.vn,www.viettel.com.vn,
,,,,,,
,,,,,,
,,,,,,
