1a,1b,2,3,4a,4b,4c
1000,"SOFIA Rue Gourko 6
",+359 2 980 37 91 +359 2 980 37 96 +359 2 981 32 96,3/2,0800-1830,0800-1300,-
,,,,,,
2700,Blagoevgrad,SOFIA,,,,
8000,Bourgas,SOFIA,,,,
9700,Choumen,SOFIA,,,,
5300,Gabrovo,SOFIA,,,,
6300,Haskovo,SOFIA,,,,
8600,Iambol,SOFIA,,,,
6600,Kardjali,SOFIA,,,,
2500,Kustendil,SOFIA,,,,
5500,Lovetch,SOFIA,,,,
3400,Montana,SOFIA,,,,
4400,Pazardjik,SOFIA,,,,
2300,Pernik,SOFIA,,,,
5800,Pleven,SOFIA,,,,
4000,Plovdiv,SOFIA,,,,
7200,Razgrad,SOFIA,,,,
7000,Rousse ,SOFIA,,,,
7500,Silistra,SOFIA,,,,
8800,Sliven,SOFIA,,,,
4700,Smolian,SOFIA,,,,
6000,Stara Zagora,SOFIA,,,,
7700,Targovichte,SOFIA,,,,
9300,Tolbouhin,SOFIA,,,,
9000,Varna,SOFIA,,,,
5000,Veliko Tarnovo,SOFIA,,,,
3700,Vidin,SOFIA,,,,
3000,Vratza,,,,,
