1a,1b,2,3,4a,4b,4c
,DOUALA NEW BELL,+237 3 343 32 06 +237 3 343 32 07,3/2,0730-1900 (Local time: UTC+1),0730-1200,- (Receiving: continuous)
,EBOLOWA,+237 2 228 43 43 +237 2 228 43 44,3/2,0730-1900 (Local time: UTC+1),0730-1200,- (Receiving: continuous)
,GAROUA,+237 2 227 18 00 +237 22 27 21 22,3/2,0730-1900 (Local time: UTC+1),0730-1200,- (Receiving: continuous)
,MAROUA,+237 2 229 29 11 +237 2 229 29 22,3/2,0730-1900 (Local time: UTC+1),0730-1200,- (Receiving: continuous)
,YAOUNDE RP,+237 2 222 62 62 +237 2 222 62 63,3/2,0730-1900 (Local time: UTC+1),0730-1200,- (Receiving: continuous)
,,,,,,
,Douala Akwa,DOUALA NEW BELL,,,,
,Douala Bessengue,DOUALA NEW BELL,,,,
,Douala RP,DOUALA NEW BELL,,,,
,Yaounde Messa,YAOUNDE RP,,,,
,Yaounde Nlongkak,YAOUNDE RP,,,,
