1a,1b,2,3,4a,4b,4c
,SANTIAGO DE CHILE,+56 2 6992675,3/2,0830-2200,0900-2200,0900-2200
,Centro de Atención de Telecomunicaciones (C.A.T.) Huerfanos No 1133,+56 2 6993674,3/2,0830-2200,0900-2200,0900-2200
,Centro de Atención de Telecomunicaciones (C.A.T.) Cosmocentro Apumanque,+56 2 2202265,3/2,0830-2200,0900-2200,0900-2200
,ANTOFAGASTA Centro de Atención de Telecomunicaciones (C.A.T.) Baquedano No 751,+56 55 222718,3/2,0830-2200,0900-2200,0900-2200
,ARICA Centro de Atención de Telecomunicaciones (C.A.T.) 21 de Mayo No 345,+56 58 251362,3/2,0830-2200,0900-2200,0900-2200
,CHILLAN Centro de Atención de Telecomunicaciones (C.A.T.) 18 de Septiembre No 746,+56 42 215405,3/2,0830-2200,0900-2200,0900-2200
,CONCEPCION Centro de Atención de Telecomunicaciones (C.A.T.) Caupolican No 746,+56 41 225750,3/2,0830-2200,0900-2200,0900-2200
,IQUIQUE Centro de Atención de Telecomunicaciones (C.A.T.) ZOFRI Place de servicios Local 6,+56 57 414060,3/2,0830-2200,0900-2200,0900-2200
,TALCA Centro de Atención de Telecomunicaciones (C.A.T.) 6 Oriente No 1067,+56 71 235155,3/2,0830-2200,0900-2200,0900-2200
,TEMUCO Centro de Atención de Telecomunicaciones (C.A.T.) Diego Fortales No 886,+56 45 212842,3/2,0830-2200,0900-2200,0900-2200
,VALPARAISO Centro de Atención de Telecomunicaciones (C.A.T.) Condell No 1495,+56 32 250097,3/2,0830-2200,0900-2200,0900-2200
,VINA DEL MAR Centro de Atención de Telecomunicaciones (C.A.T.) 15 Norte No 961,+56 32 689422,3/2,0830-2200,0900-2200,0900-2200
,,,,,,
,Andes (Los),SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Angeles (Los),SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Antofagasta,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Calama,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Chillan,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Concepción,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Coquimbo,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Coronel,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Curico,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Iquique,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Linares,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Puerto Montt,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Renaca,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,San Felipe,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Serena (La),SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Talca,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Talcahuano,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Temuco,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Vallenar,SANTIAGO DE CHILE Huerfanos No 1133,,,,
,Valparaiso,SANTIAGO DE CHILE Huerfanos No 1133,,,,
