1a,1b,2,3,4a,4b,4c
,SANTIAGO DE CHILE,+56 2 6981474,3/2,N,N,N
,ANTOFAGASTA,+56 55 264043,3/2,N,N,N
,ARICA,+56 58 231854,3/2,N,N,N
,CALAMA,+56 56 341248,3/2,N,N,N
,CHILLAN,+56 42 224879,3/2,N,N,N
,CONCEPCION,+56 41 227006,3/2,N,N,N
,COYHAIQUE,+56 67 232500 +56 67 234261,3/2,N,N,N
,IQUIQUE,+56 57 413735,3/2,N,N,N
,LA SERENA,+56 51 215678,3/2,N,N,N
,LOS ANGELES,+56 43 322280,3/2,N,N,N
,OSORNO,+56 64 235672,3/2,N,N,N
,PROVIDENCIA,+56 2 2352459,3/2,N,N,N
,PUERTO MONTT,+56 65 254176,3/2,N,N,N
,PUNTA ARENAS,+56 61 224351 +56 61 227531,3/2,N,N,N
,RANCAGUA,+56 72 234353,3/2,N,N,N
,TALCA,+56 71 225176,3/2,N,N,N
,TEMUCO,+56 45 210393,3/2,N,N,N
,VALDIVIA,+56 63 215012,3/2,N,N,N
,VALPARAISO,+56 32 212205,3/2,N,N,N
,VINA DEL MAR,+56 32 680294,3/2,N,N,N
