1a,1b,2,3,4a,4b,4c
,BOLIVAR GUARANDA ANDINATEL S.A.,+593 3 298 0357,3/2,N,N,N
,BOLIVAR SAN MIGUEL ANDINATEL S.A.,+593 3 298 9111,3/2,N,N,N
,CARCHI TULCÁN ANDINATEL S.A.,+593 6 298 1000,3/2,N,N,N
,CARCHI RUMICHACA ANDINATEL S.A.,+593 6 298 1745,3/2,N,N,N
,CHIMBORAZO RIOBAMBA ANDINATEL S.A.,+593 3 294 3150,3/2,N,N,N
,ESMERALDAS ESMERALDAS ANDINATEL S.A.,+593 6 272 8810,3/2,N,N,N
,ESMERALDAS ATACAMES ANDINATEL S.A.,+593 6 273 1106,3/2,N,N,N
,COTOPAXI LATACUNGA ANDINATEL S.A.,+593 3 281 0141,3/2,N,N,N
,IMBABURA IBARRA ANDINATEL S.A.,+593 6 264 1065,3/2,N,N,N
,IMBABURA OTAVALO ANDINATEL S.A.,+593 6 292 0452,3/2,N,N,N
,NAPO TENA ANDINATEL S.A.,+593 6 288 6106,3/2,N,N,N
,PASTAZA PUYO ANDINATEL S.A.,+593 3 288 5140,3/2,N,N,N
,PICHINCHA SANTO DOMINGO ANDINATEL S.A.,+593 2 276 0256,3/2,N,N,N
,TUNGURAHUA AMBATO ANDINATEL S.A.,+593 3 241 0010,3/2,N,N,N
,TUNGURAHUA AMBATO ANDINATEL S.A.,+593 3 282 3114,3/2,N,N,N
,QUITO IÑAQUITO ANDINATEL S.A.,+593 2 226 4461,3/2,N,N,N
,QUITO CENTRO ANDINATEL S.A.,+593 2 258 0221,3/2,N,N,N
,QUITO CUMANDA ANDINATEL S.A.,+593 2 258 2020,3/2,N,N,N
,QUITO GAMAON ANDINATEL S.A.,+593 2 223 8179,3/2,N,N,N
,QUITO DORAL ANDINATEL S.A.,+593 2 256 6114,3/2,N,N,N
,QUITO COTOLAO ANDINATEL S.A.,+593 2 253 5586,3/2,N,N,N
,QUITO VILLA FLORA ANDINATEL S.A.,+593 2 265 9234,3/2,N,N,N
