1a,1b,2,3,4a,4b,4c
,AFAREAITU Moorea - I.D.V.,+689 56 22 22,3/2,0700-1500,-,-
,ATUONA Hiva-Oa - Marquises,+689 92 72 00,3/2,0700-1500,0700-0800,-
,FARE Huahine - I.S.L.V.,+689 68 85 00,3/2,0700-1500,0700-0800,-
,MATAURA Tubai - Australes,+689 95 02 00,3/2,0700-1500,0700-0800,-
,MOERAI Rurutu - Australes,+689 94 02 00,3/2,0700-1500,0700-0800,-
,PAPEETE RP Tahiti - I.D.V.,+689 43 68 68,3/2,0700-1800,0800-1000,0800-1000
,PIRAE Tahiti - I.D.V.,+689 41 92 00,3/2,0700-1500,-,-
,RANGIROA Tuamotu,+689 96 02 00,3/2,0700-1500,0700-0800,-
,TAIOHAE Nuku-Hiva - Marquises,+689 92 02 00,3/2,0700-1500,0800-0900,-
,TARAVAO Tahiti - I.D.V.,+689 57 26 26,3/2,0700-1500,-,-
,UTUROA Raiatea - I.S.L.V.,+689 66 37 37,3/2,0700-1800,0800-1000,0800-1000
,VAITAPE Bora-Bora - I.S.L.V.,+689 67 72 00,3/2,0700-1500,0700-0900,0700-0900
