1a,1b,2,3,4a,4b,4c
173 01,AG DIMITRIOS,+30 21 097 53149,3/2,0730-1415,-,-
833 00,AG KIRIKOS,+30 2275 022165,3/2,0730-1415,-,-
350 06,AG KONSTANTINOS LOKR,+30 2235 032100,3/2,0730-1415,-,-
721 00,AG NIKOLAOS LAS,+30 2841 024034,3/2,0730-1415,-,-
301 00,AGRINIO,+30 2641 025653,3/2,0730-1415,-,-
681 00,ALEXANDROUPOLI,+30 2551 023425,3/2,0730-1415,-,-
345 00,ALIVERI,+30 2223 022359,3/2,0730-1415,-,-
371 00,ALMYROS,+30 2422 021755,3/2,0730-1415,-,-
331 00,AMFISSA,+30 2265 029795,3/2,0730-1415,-,-
532 00,AMINTEO,+30 2386 022201,3/2,0730-1415,-,-
270 65,ANCIEN OLYMPIA,+30 2624 022900,3/2,0730-1415,-,-
845 00,ANDROS,+30 2282 024578,3/2,0730-1415,-,-
212 00,ARGOS,+30 2751 027782,3/2,0730-1415,-,-
522 00,ARGOS ORESTIKO,+30 2467 044444,3/2,0730-1415,-,-
281 00,ARGOSTOLI,+30 2671 024280,3/2,0730-1415,-,-
471 00,ARTA,+30 2681 023838,3/2,0730-1415,-,-
166 03,ATHENS AERODROMIO ANATOLIKO,+30 21 096 23865,3/2,0730-1415,-,-
166 04,ATHENS AERODROMIO DYTIKO,+30 21 098 29337,3/2,0730-1415,-,-
135 01,ATHENS AG ANARGIRI,+30 21 026 31533,3/2,0730-1415,-,-
153 01,ATHENS AG PARASKEYI,+30 21 065 70227,3/2,0730-1415,-,-
151 01,ATHENS AMARUSIO,+30 21 080 66091,3/2,0730-1415,-,-
111 01,ATHENS ATHINA 11,+30 21 020 17254,3/2,0730-1415,-,-
115 01,ATHENS ATHINA 15,+30 21 077 11156 +30 21 064 34045,3/2,0730-1415,-,-
116 01,ATHENS ATHINA 16,+30 21 072 22207,3/2,0730-1415,-,-
117 01,ATHENS ATHINA 17,+30 21 092 17997,3/2,0730-1415,-,-
100 35,ATHENS ATHINA 47,+30 21 082 35891,3/2,0730-2000,-,-
103 00,ATHENS ATHINA 52,+30 21 032 18458,3/2,0730-2000,0730-1415,0900-1300
100 33,ATHENS ATHINA 54,+30 21 032 18216,3/2,0730-2000,-,-
100 34,ATHENS ATHINA 55,+30 21 032 13185,3/2,0730-2000,-,-
152 01,ATHENS CHALANDRI,+30 21 068 42640,3/2,0730-1415,-,-
