1a,1b,2,3,4a,4b,4c
5000,BAFATA,+245 411114,Information not available,0800-1900,0800-1100,-
1001,BISSAU,+245 201465,Information not available,0800-1830,0800-1230,-
3300,BISSORA,+245 215335,Information not available,0800-1900,0800-1100,-
7100,BUBA,+245 611133,Information not available,0800-1900,0800-1100,-
4000,CACHEU,+245 921110,Information not available,0800-1900,0800-1100,-
4100,CANCHUNGO,+245 911201,Information not available,0800-1900,0800-1100,-
8000,CATIO,+245 711151,Information not available,0800-1900,0800-1100,-
3000,FARIM,+245 351129,Information not available,0800-1900,0800-1100,-
6000,GABU,+245 511112,Information not available,0800-1900,0800-1100,-
3400,MANSOA,+245 311149,Information not available,0800-1900,0800-1100,-
,,,,,,
5500,Banbadinga,BISSAU,,,,
8100,Bedanda,BISSAU,,,,
4500,Bigene,BISSAU,,,,
9000,Boloma,BISSAU,,,,
9100,Bubaque,BISSAU,,,,
4400,Bula,BISSAU,,,,
8200,Cacine,BISSAU,,,,
5200,Contuboel,BISSAU,,,,
7300,Empada,BISSAU,,,,
7000,Fulacunda,BISSAU,,,,
4525,Ingore,BISSAU,,,,
3200,Mansaba,BISSAU,,,,
8300,Quegu,BISSAU,,,,
2000,Quinhamel,BISSAU,,,,
4525,São Domingo,BISSAU,,,,
6100,Sonaco,BISSAU,,,,
7200,Tite,BISSAU,,,,
