1a,1b,2,3,4a,4b,4c
LV1000 à/to/a: LV1999,RIGA,+371 6 7 334645,3,N,N,N
LV2000 à/to/a: LV5799,,+371 6 7 331920,3,N,N,N
,ALTERNATIVE MAIN INTERNATIONAL BUREAUX,,,,,
LV51XX,AIZKRAUKLE,+371 6 51 22565,3,N,N,N
LV43XX,ALUKSNE,+371 6 43 22501,3,N,N,N
LV45XX,BALVI,+371 6 45 22793,3,N,N,N
LV39XX,BAUSKA,+371 6 39 22268,3,N,N,N
LV41XX,CESIS,+371 6 41 22788,3,N,N,N
LV54XX,DAUGAVPILS,+371 6 54 22686,3,N,N,N
LV37XX,DOBELE,+371 6 37 81324,3,N,N,N
LV44XX,GULBENE,+371 6 44 97692,3,N,N,N
LV52XX,JEKABPILS,+371 6 52 31446,3,N,N,N
LV30XX,JELGAVA,+371 6 30 12445,3,N,N,N
LV56XX,KRASLAVA,+371 6 56 21103,3,N,N,N
LV33XX,KULDIGA,+371 6 33 50445,3,N,N,N
LV34XX,LIEPAJA,+371 6 34 80547,3,N,N,N
LV40XX,LIMBAZI,+371 6 40 22162,3,N,N,N
LV57XX,LUDZA,+371 6 57 22290,3,N,N,N
LV48XX,MADONA,+371 6 48 21140,3,N,N,N
LV50XX,OGRE,+371 6 50 22615,3,N,N,N
LV53XX,PREILI,+371 6 53 22436,3,N,N,N
LV46XX,REZEKNE,+371 6 46 24405,3,N,N,N
LV38XX,SALDUS,+371 6 38 22355,3,N,N,N
LV32XX,TAISI,+371 6 32 22115,3,N,N,N
LV31XX,TUKUMS,+371 6 31 81168,3,N,N,N
LV47XX,VALKA,+371 6 47 25768,3,N,N,N
LV42XX,VALMIERA,+371 6 42 25595,3,N,N,N
LV36XX,VENTSPILS,+371 6 36 29630,3,N,N,N
