1a,1b,2,3,4a,4b,4c
L-3290,Centre de Tri Bettembourg,+352 2453 8353,3/2,N,N,N
,,,,,,
4901,Bascharage,LUXEMBOURG GARE,,,,
3201,Bettembourg,LUXEMBOURG GARE,,,,
8301,Cap,LUXEMBOURG GARE,,,,
9701,Clervaux,LUXEMBOURG GARE,,,,
9201,Diekirch,LUXEMBOURG GARE,,,,
4501,Differdange,LUXEMBOURG GARE,,,,
3401,Dudelange,LUXEMBOURG GARE,,,,
6401,Echternach,LUXEMBOURG GARE,,,,
4001,Esch sur Alzette 1,LUXEMBOURG GARE,,,,
9001,Ettelbrück,LUXEMBOURG GARE,,,,
6701,Grevenmacher,LUXEMBOURG GARE,,,,
1110,Luxembourg Aéroport,LUXEMBOURG GARE,,,,
2019,Luxembourg Centre,LUXEMBOURG GARE,,,,
1015,Luxembourg Gare,LUXEMBOURG GARE,,,,
7501,Mersch,LUXEMBOURG GARE,,,,
5601,Mondorf les Bains,LUXEMBOURG GARE,,,,
4701,Pétange,LUXEMBOURG GARE,,,,
8501,Redange sur Attert,LUXEMBOURG GARE,,,,
5501,Remich,LUXEMBOURG GARE,,,,
3701,Rumelange,LUXEMBOURG GARE,,,,
