1a,1b,2,3,4a,4b,4c
,NIAMEY PLATEAU,+227 20 73 44 78,3/2,0730-1230 1500-1800,-,-
,NIAMEY TELECENTRE ACTEL,+227 20 74 08 88,3/2,0730-1230 1500-1800,-,-
,TAHOUA,+227 20 61 02 49,3/2,0730-1230 1500-1800,-,-
,ZINDER,+227 20 51 07 62,3/2,0730-1230 1500-1800,-,-
,ALTERNATIVE MAIN INTERNATIONAL BUREAUX,,,,,
,AGADES ONPE,+227 20 44 02 40,3/2,0730-1230 1500-1800,-,-
,ARLIT ONPE,+227 20 45 23 59,3/2,0730-1230 1500-1800,-,-
,BIRNI N’KONNI TELECENTRE,+227 20 64 04 01,3/2,0730-1230 1500-1800,-,-
,DIFFA ONPE,+227 20 54 01 62,3/2,0730-1230 1500-1800,-,-
,DOSSO ONPE,+227 20 65 02 53,3/2,0730-1230 1500-1800,-,-
,GAYA TELECENTRE,+227 20 68 04 43,3/2,0730-1230 1500-1800,-,-
,MARADI ONPE,+227 20 41 02 63,3/2,0730-1230 1500-1800,-,-
,NIAMEY RP,+227 20 73 44 70,3/2,0730-1230 1500-1800,-,-
,NIAMEY TELECENTRE BANIZOUMBOU,+227 20 73 51 37,3/2,0730-1230 1500-1800,-,-
,NIAMEY TELECENTRE GRAND MARCHE,+227 20 73 46 20,3/2,0730-1230 1500-1800,-,-
,NIAMEY TELECENTRE VOX,+227 20 73 20 06,3/2,0730-1230 1500-1800,-,-
,NIAMEY TELECENTRE MAOUREY,+227 20 73 29 35,,,,
,TILLABERY ONPE,+227 20 71 15 22,3/2,0730-1230 1500-1800,,
