1a,1b,2,3,4a,4b,4c
,15 de agosto,+595 21 458122,,,,
,Sajonia,+595 21 426786,,,,
,Barrio Obrero,+595 21 390919,,,,
,Terminal,+595 21 551695,,,,
,San Vicente,+595 21 332677,,,,
,Tembetary,+595 21 555688,,,,
,Trinidad,+595 21 297653,,,,
,I.P.S.,+595 21 299297,,,,
,Shopping del Sol,+595 21 615191,,,,
,Central II,+595 21 210245,,,,
,Villa Morra,+595 21 615192,,,,
,Palacio de Justicia,+595 21 426793,,,,
,Eusebio Ayala,+595 21 558120,,,,
,Mall Excelsior,+595 21 440485,,,,
,Palma,+595 21 497956,,,,
,Fernando de la Mora,+595 21 552151,,,,
,Lambaré,+595 21 908613,,,,
,San Lorenzo,+595 21 580217,,,,
,Ypane,+595 275 32500,,,,
,Luque Central,+595 21 646184,,,,
,Aeropuerto,+595 21 648213,,,,
,San Antonio,+595 21 991308,,,,
,Emboscada,+595 529 20310,,,,
,Capiata,+595 28 33728,,,,
,Nemby,+595 21 964541,,,,
,Limpio,+595 21 781700,,,,
,Mariano Roque Alonso,+595 21 755319,,,,
,Piquete Cue,+595 21 770204,,,,
,Concepción,+595 31 42222,,,,
,Caacupe Central,+595 511 43800,,,,
,Villarrica,+595 541 41443,,,,
,Coronel Oviedo,+595 521 203802,,,,
,Encarnación,+595 71 205742,,,,
,Ayolas,+595 72 222599,,,,
,San Juan Bautista Misiones,+595 81 212654,,,,
,Guarambare,+595 293 932699,,,,
,Paraguari,+595 531 33046,,,,
,Ciudad del Este – Central,+595 61 572004,,,,
,Pilar – Central,+595 86 31024,,,,
,Pilar – Terminal,+595 86 31022,,,,
,Pedro Juan Caballero,+595 36 70900,,,,
,Yby Yau,+595 39 400,,,,
,Bella Vista Norte,+595 38 222,,,,
,Filadelfia,+595 491 33040,,,,
,Loma Plata,+595 492 52644,,,,
,Mariscal Estigarribia,+595 484 247300,,,,
