1a,1b,2,3,4a,4b,4c
34431,ISTANBUL Sirkeci PTT Merkezi,+90 212 520 7314,3/2,N,N,N
,,,,,,
1320,Adana (Carsi),ISTANBUL,,,,
6040,Ankara,ISTANBUL,,,,
7000,Antalya,ISTANBUL,,,,
9000,Aydin,ISTANBUL,,,,
80071,Beyoglu,ISTANBUL,,,,
16370,Bursa,ISTANBUL,,,,
17000,Canakkale,ISTANBUL,,,,
20000,Denizli,ISTANBUL,,,,
25220,Erzurum,ISTANBUL,,,,
26440,Eskisehir,ISTANBUL,,,,
48400,Fethiye,ISTANBUL,,,,
27280,Gaziantep,ISTANBUL,,,,
32190,Isparta,ISTANBUL,,,,
35211,Izmir,ISTANBUL,,,,
42069,Konya,ISTANBUL,,,,
9400,Kusadasi,ISTANBUL,,,,
48700,Marmaris,ISTANBUL,,,,
56000,Siirt,ISTANBUL,,,,
62000,Tunceli,ISTANBUL,,,,
50400,Urgüp,ISTANBUL,,,,
