1a,1b,2,3,4a,4b,4c
,AL ALIN Etisalat Public Call Office Etisalat Building Sanaiya Road P.O. Box 1112,+971 3 7654602,3/2,0700-2300,0700-2300,0700-2300
,ABU DHABI Etisalat Public Call Office Central Exchange Building Old Airport Road P.O. Box 300,+971 2 6211775,3/2,0700-2300,0700-2300,0700-2300
,DUBAI Etisalat Public Call Office Bin Yas Street P.O. Box 1150,+971 4 2231611,3/2,0700-2300,0700-2300,0700-2300
,- Al Baraha Business Centre,+971 4 2714411,3/2,Mon – Wed* 0700-1500 0700-1500 Thurs 0800-1300 Friday Closed,0700-1500 1700-1900,0700-1500 1700-1900
,- Deira Business Centre,+971 4 2283736,3/2,0700-0000,0700-0000,0700-0000
,- Al Khaleej Business Centre,+971 4 3550445,3/2,Sat-Thurs* Friday Closed,0900-1900,0900-1900
,- Al Wasl Business Centre,+971 4 3434542,3/2,Mon-Wed 0700-1500 1700-1900 Thursday 0800-1300 Friday Closed,0700-1500 1700-1900,0700-1500 1700-1900
,- Hatta Service Centre,+971 4 8521618,3/2,Mon-Wed 0700-1500 Thurs-Friday Closed,0700-1500,0700-1500
,- Jabel Ali Service Centre,+971 4 8871217,3/2,Mon-Wed 0800-1600 Thursday 0800-1300 Friday Closed,0800-1600,0800-1600
,West Coast Region:,,,,,
,SHARJAH C.T.O. Etisalat Public Call Office Etisalat Building P.O. Box 980 Al Soor Street,+971 6 5611115,3/2,0700-2300,0700-2300,0700-2300
,- Ajman C.T.O.,+971 6 7422359,3/2,0700-2100,0700-2100,0700-2100
,- Abu Shagara (Sub Office),+971 6 5539797,3/2,0700-2100,0700-2100,0700-2100
,- Dhaid (Sub Office),+971 6 8822733,3/2,Mon-Thurs 0700-2100 Friday 0900-1200 1600-2000,0700-2100,0700-2100
,- Umm Al quwain (Sub Office),+971 6 7656171,3/2,0700-2100,0700-2100,0700-2100
,FUJAIRAH Etisalat Public Call Office Etisalat Building Al Salam Street P.O. Box 14,+971 9 2223362,3/2,Mon-Thurs 0700-2100 Friday Closed,0700-2100,0700-2100
,RAS AL KHAIMAH Etisalat Public Call Office Etisalat Building P.O. Box 245 Al Nakheel,+971 7 2282237,3/2,Mon-Wed 0700-2100 Thurs-Friday 0900-2000,0700-2100,0700-2100
