1a,1b,2,3,4a,4b,4c
55000,ARTIGAS Telecentro Artigas,+598 772 3098,3,0700-2300,0700-2300,0700-2300
90000,CANELONES Telecentro Canelones,+598 332 2601,3,0700-2300,0700-2300,0700-2300
16000,ATLANTIDA Telecentro Atlantida,+598 322 0510,3,0700-2300,0700-2300,0700-2300
70000,COLONIA Telecentro Colonia,+598 522 2328,3,0700-2300,0700-2300,0700-2300
97000,DURAZNO Telecentro Durazno,+598 362 3599,3,0700-2300,0700-2300,0700-2300
94000,FL0RIDA Telecentro Florida,+598 352 3999,3,0700-2300,0700-2300,0700-2300
20100,MALDONADO Telecentro Maldonado,+598 42 229399,3,0700-2300,0700-2300,0700-2300
37000,MELO Telecentro Melo,+598 642 3398,3,0700-2300,0700-2300,0700-2300
75000,MERCEDES Telecentro Mercedes,+598 532 2962,3,0700-2300,0700-2300,0700-2300
11800,MONTEVIDEO AGUADA Telecentro Aguada San Martin 2677,+598 2 2035580,3,0900-1900,0900-1900,-
11500,MONTEVIDEO CARRASCO Telecentro Carrasco Alfredo Arocena 1666,+598 2 601 6636,3,0900-1900,0900-1900,-
11000,MONTEVIDEO CIUDAD VIEJA Telecentro Ciudad Vieja Rincon 501,+598 2 916 2540,3,09001900,0900-1900,-
11100,MONTEVIDEO PLAZA Telecentro Plaza San Jose 1102,+598 2 902 1117,3,N,N,N
11200,MONTEVIDEO SEDE Telecentro Sede Fernandez Crespo 1534,+598 2 400 9473 +598 2 401 9151,3,0900-2300,0900-1900,-
