Name,Address,Tel,Fax,Email,URL,OB
Afghan Telecom Limited ,"Mohammad Jan Khan
Watt MoC Building
KABUL",+93 20 210 4000,N/A,g.noorzaie@moc.gov.af,,837
Afghan Wireless Communication Company,"Cinema Pamir, Third Floor
KABUL",+93 70 877 877,N/A,a.ramin@telesysint.com,,837
Ariana Telecom,"Flower Street Shar-e-Naw Afsoter Building Second Floor
KABUL",+93 79 328 4000,N/A,sultan@arianatelecom.com.af,,837
CeReTechs,House #39 Karta-e-Perwan KABUL,+93 70 274 826,N/A,info@ceretechs.com / mina@ceretechs.com,,837
Insta Telecome,"House #40 Main Street, Three Ways Wazir Akber Khan KABUL",+93 20 219 1678,+93 20 210 1678,kabulsupport@instatelecom.com,,837
IO-Global,"House #329 15th Street, 5th Lane Wazir Akber Khan KABUL",+93 79 012 850,N/A,sgupta@io-global.com,,837
KB I. AF,"House #5 10th Street, 1st Lane Wazir Akber Khan KABUL",+93 70 245 160,N/A,info@kbiafghanistan.com / info@io-global.com,,837
Neda,"Post Parcel
MoC Building, Ground Floor KABUL",+93 70 297 511,N/A,shakir@neda.af,837,
New Dunia,"MoC Building, Ground Floor KABUL",+93 20 210 3766,N/A,info@newdunia.com / jnoorzai@yahoo.com,837,
Park Telcom,Charahi Ansari KABUL,+93 70 278 022,N/A,sabilatifi@yahoo.com,837,
Telecommunication Development Company for Afghanistan Limited (TDCA) Trading as Roshan,"House #13, Main Street Wazir Akber Khan KABUL",+93 79 999 996,+93 79 978 401,samir.satchu@roshan.af,837,
