Name,Address,Tel,Fax,Email,URL,OB
2Connect W.L.L.,"P.O. Box 18057, NBB 12th Floor
Government Avenue
MANAMA
",+973 1750 0110,+973 1750 0109,fahad@2connectbahrain.com,www.2conect.com,
Amwaj Telecom,"P.O. Box 11990
MANAMA
",+973 1753 2320,+973 1754 1114,saeed@ossisonline.com,,
"Bahrain Telecommunications Company (Batelco
Regulatory Affairs Department)
","P.O. Box 14
MANAMA
",+973 1788 4830 / +973 1788 4829,+973 1761 0092,cl5@btc.com.bh,www.batelco.com.bh,
Business Communication Networks (BCN),"Office 1003
Al-Moayeed Tower
Road 2832, seef 428
MANAMA
",+973 1756 4888,+973 1756 4889,info@lbcn-bh.com,www.bcn-bh.com,
Etisalcom Bahrain,"Flat No. 309, Building No. 1
Road 383, Block 306
1, Government Road
MANAMA
",+973 1753 6222,+973 1753 6333, ashoor@etisalcom.com,www.etisalcom.com,
Fakhroo Technical Equipment Maintenance (FTEM),"P.O. Box 10338
Villa 377, Road 1234, Block 312
GUFOOL Bahrain
",+973 1727 3377,+973 1727 4635,tfakhroo@oftem.com,,
ICOL Global Holding,"40th Floor, Al-Moayeed Tower
Building 371, Block 18178
MANAMA
",+973 1756 3990,+973 1756 3991,e.alawi@icool.com,,
KASIOPIA NET COM – KNC,"P.O. Box 18577, Alseef
MANAMA
",+973 1758 0830,+973 1758 1190,info@kasiopia.com,www.kasiopia.com,
LightSpeed Communications,"P.O. Box 18681
Al-Moayeed Tower, 6th Floor
MANAMA
",+973 1758 1503,+973 1758 1532,rachael@lightspeed.bh,www.lightspeed.bh,
Telecommunications Regulatory Authority (TRA),"P.O. Box 10353
MANAMA
",+973 1752 0000,+973 1753 2125,contact@tra.org.bh,www.tra.org.bh,
ViaCloud W.L.L.,"Mr Mutaz Otaibi
P.O. Box 2724
MANAMA
",+973 1721 4241,,info@viacloud.com,,
Voice Steam Mr Sawat Ali,"P.O. Box 11659
MANAMA
",+973 3944 6929,+973 1727 0048,safwathanafi@hotmail.com,,
Zain Bahrain,"Alafoo Building
Seef Area
P.O. Box 266
MANAMA
",+973 3603 0064,+973 3603 1964,jaffar.abdulla@zain.com,www.bh.zain.com,
