Name,Address,Tel,Fax,Email,URL,OB
AT&T Canada,,,,,,790
Bell Canada,"671, Rue de la Gauchetière Ouest
Floor 851
MONTREAL, Québec H3B 2M8
",+1 514 870 5070,+1 514 870 9560,redouane.zidane@bell.ca,www.bell.ca,790
North American Gateway Inc.,"1 Yonge Street
Suite 1801
TORONTO, Ontario M5E 1W7
",+1 416 364 8046,+1 416 364 9482,,,790
"Rogers Communication Partnership
Network Strategy and Technology Development
","Rogers Brampton Campus
8200 Dixie Road
BRAMPTON, Ontario L6T 0C1
",+1 647 747 4277,+1 647 747 6855,ed.oleary@rci.rogers.com,,790
Tata Communications (Canada) ULC,"1555, Rue Carrie-Derick
MONTREAL, Quebec H3C 6W2
",+1 514 868 7272,+1 514 868 7234,henri.alexandre@tatacommunications.com,www.tatacommunications.com,933
Télécom Quebec Inc.,"350-C, Rue Notre-Dame
NOTRE-DAME-DU-BON-CONSEIL J0H 1X0
",+1 450 799 2924,+1 450 799 0808,ithiago@guevremont.com,,790
Téléphone Guèvremont Inc.,"8885, Marquette
STE-ROSALIE, Quebec J0H 1X0
",+1 450 799 2924,+1 450 799 0808,ithiago@guevremont.com,,790
Telesat Canada,"1601 Telesat Court
OTTAWA, Ontario K1B 5P4
",+1 613 748 0123,+1 613 748 3712,J.Forsey@telesat.ca,,
Telus Mobility,"Suite 1600
200 Consilium Place
SCARBOROUGH, Ontario MIH 3J3
",+1 416 279 3014,+1 416 279 3166,serge.bertuzzo@telus.com,,
,,,,,,
