Name,Address,Tel,Fax,Email,URL,OB
Alkan Telecom,"8, El Gazaer Street
New Maadi
11435 CAIRO
",+20 2 2516 9722,+20 2 2516 9560,ataleb@alkantelecom.com,www.alkantelecom.com,
Egyptian Space Communication Co. S.A.E.,"41, Degla Street
El-Mohandseen
GIZA
",+20 2 3336 2154,+20 2 3336 3574,esc@link.net,,
LINKdötNET,"3, Mussadak Street
Dokki
12311 CAIRO
",+20 2 2336 7711,+20 2 2336 4910,kgb@link.net,www.link.net,
Telecom Egypt,"Smart Village
km 28 Cairo-Alexandria Desert Road
P.O. Box 795
GIZA 
",+20 2 3131 6071,+20 2 3131 5198,regulatory.affairs@te.eg,www.te.eg,
The Egyptian Company for Mobile Services (MOBINIL),"Nile City Building
2005C, Cornishe El-Nil,
Ramlet Boulaq
11221
CAIRO
",+20 122 3203470,+20 122 3203442,sissa@mobinil.com,www.mobinil.com,
"The Egyptian Satellite Company (Nilesat)
6th of October City
","P.O. Box 72
12568 GIZA
",+20 2 3840 0145,+20 2 3840 0402,nilesat@link.net,www.nilesat.com.eg,
Vodafone Egypt Telecommunications S.A.E.,"7A Cornich El-Nil
Maadi
11431 CAIRO
",+20 2 2529 2000 / +20 2 2529 2015,+20 2 2529 2030,mahmoud.elmogy@vodafone.com.eg,www.vodafone.com.eg,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
