Name,Address,Tel,Fax,Email,URL,OB
Actel Távközlési Kft.,Jeszenák János u. 99-101 B/1 1141 BUDAPEST, +36 1 481 4646,+36 1 481 4645,office@mail.actel.hu,www.actel.hu,862
Antenna Hungaria Magyar Müsorszóró és Rádióhírközlési Rt.,"Petzvál J.u. 30-33
1119 BUDAPEST", +36 1 203 6060 / +36 1 464 2464,+36 1 464 2525,antennah@ahrt.hu,www.ahrt.hu,862
BT Limited,"Magyarországi Fióktelepe Alkotás u. 50
1123 BUDAPEST", +36 1 325 3100,+36 1 325 3101,tunde.karika@bt.com,www.bt.com,862
CallGate Telecommunikációs Kft.,"Ostrom u. 16
1015 BUDAPEST",+36 1 212 5875,+36 1 212 0318,support@bellafone.hu,www.bellafone.hu,862
EMKTV Egyesült Magyar KábelTelevízió Hiradástechnikai,"Ker. és Szolg. Kft.
Váci u. 35
1134 BUDAPEST", +36 1 412 3980,+36 1 412 3984,dispecser@hdsnet.hu,www.emktv.hu,862
GTS-Datanet Távközlési Kft.,"Ipartelep u. 13-15
2040 BUDAÖRS",+36 1 814 4000,+36 1 814 4047,info@datanet.hu , www.gtsdatanet.hu,862
Invitel Távközlés Szolgáltató Rt.,"Puskás Tivadar u. 8-10
2040 BUDAÖRS",+36 1 801 1500,+36 1 801 1901,info@invitel.co.hu,www.invitel.hu,862
Magyar Telekom Távközlési Nyrt.,"Krisztina krt. 55
1013 BUDAPEST",+36 1 458 7346,+36 1 458 7345,,www.magyartelecom.hu,862
Pannon GSM Távközlési Zrt.,"Baross u. 165
2040 BUDAÖRS",+36 20 930 4000,+36 20 930 4100,,www.pgsm.hu,862
PanTel Távközlési Kft.,"Bocskai út. 134-146
1113 BUDAPEST",+36 1 888 3535,+36 1 888 3636,pantel@pantel.hu, www.pantel.hu,862
Tele2 Magyarország Kommunikációs és Szolgáltató Egyszemélyes Kft.,Viktor Hugo u. 18-22,,,ugyfelszolgalat@tele2.hu, www.tele2.hu,862
T-Mobile Magyarország Távközlési Rt.," Kaposvár u. 5-7
1117 BUDAPEST",+36 1 265 9200,+36 1 204 4128,t-mobile@t-mobile.hu, www.t-mobile.hu,862
Vodafone Magyarország Mobil Távközlés Rt.,Váci u. 1-3 1062 BUDAPEST,+36 70 288 3288,+36 70 288 3100,,www.vodafone.hu,862
