Name,Address,Tel,Fax,Email,URL,OB
Cities On Line S.p.A,,,,,,
EdisonTel S.p.A,,,,,,
H3G S.p.A. ,,,,,,
IPSE 2000 S.p.A.,,,,,,
Rai Way S.p.A.,"Via Teulada, 66
00195 ROMA
",+39 06 3317 3670,+39 06 3317 5115,ierovante@rai.it,www.raiway.rai.it,
Telecom Italia S.p.A.,"41, Corso d'Italia
00198 ROMA
",+39 06 3688 2287,+39 06 3688 2324,, www.telecomitalia.it,
Telecom Italia Sparkle S.p.A.,"Via Cristoforo Colombo, 142
00147 ROMA
",+39 06 5443 2034,+39 06 5443 3963,cecilia.vicedomini@telecomitalia.it,,
Telespazio S.p.A.,"Via Tiburtina, 965
00156 ROMA
",+39 06 4079 3320,+39 06 4079 3722,claudia.quaglione@telespazio.com,,
"Vodafone Omnitel, S.p.A",,,,,,
Wind Telecomunicazioni S.p.A.,"Via C.G. Viola, 48
00148 ROMA
",+39 06 83115390,+39 06 83170509,ermanno.berruto@mail.wind.it,www.wind.it,
