Name,Address,Tel,Fax,Email,URL,OB
Casema N.V.,"Brassersplein, 2
2612 CT DELET",+31 348 493 109,+31 348 493 199,,,
Enertel N.V.,"P.O. Box 25226
3001 HE ROTTERDAM",+31 10 880 3720,+31 10 880 3799,,,
FaciliCom International Netherlands,"Worldwide Boulevard
Bouwerij, 44 (5th Floor)
1185 XX AMSTELVEEN",+31 20 543 1900,+31 20 543 1901,,,
Royal KPN N.V.,"P.O. Box 30150
2500 GD THE HAGUE",+31 70 343 4976,+31 70 343 4939,,,
SES World Skies,,,,,,
SpeakUp BV,,,,,,
United Telecommunication Services (UTS),,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
